RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger-V-351;;
Number;7184200193;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2551;;
Temperature Maximum;24,5°C;;
Temperature Minimum;14,5°C;;
Temperature Average;18°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;62,1%RH;;
Humidity Minimum;38,5%RH;;
Humidity Average;53,8%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-25 15:30:06;;
End Time;2022-05-04 12:00:06;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
290;2022-04-26 15:35:06;19,9;49,7
291;2022-04-26 15:40:06;19,8;49,2
292;2022-04-26 15:45:06;19,8;49,7
293;2022-04-26 15:50:06;19,8;49,2
294;2022-04-26 15:55:06;19,8;49,7
295;2022-04-26 16:00:06;19,8;50,2
296;2022-04-26 16:05:06;19,8;50,2
297;2022-04-26 16:10:06;19,7;50,2
298;2022-04-26 16:15:06;19,7;50,2
299;2022-04-26 16:20:06;19,6;50,2
300;2022-04-26 16:25:06;19,6;50,2
301;2022-04-26 16:30:06;19,5;50,2
302;2022-04-26 16:35:06;19,4;50,7
303;2022-04-26 16:40:06;19,4;50,7
304;2022-04-26 16:45:06;19,3;50,7
305;2022-04-26 16:50:06;19,3;50,7
306;2022-04-26 16:55:06;19,2;50,6
307;2022-04-26 17:00:06;19,2;51,1
308;2022-04-26 17:05:06;19,2;51,1
309;2022-04-26 17:10:06;19,2;51,6
310;2022-04-26 17:15:06;19,1;51,6
311;2022-04-26 17:20:06;19,1;51,6
312;2022-04-26 17:25:06;19,1;52,1
313;2022-04-26 17:30:06;19;52,1
314;2022-04-26 17:35:06;19;52,6
315;2022-04-26 17:40:06;19;52,6
316;2022-04-26 17:45:06;18,9;52,6
317;2022-04-26 17:50:06;18,9;53,1
318;2022-04-26 17:55:06;18,9;53,1
319;2022-04-26 18:00:06;18,9;53,6
320;2022-04-26 18:05:06;18,8;53,6
321;2022-04-26 18:10:06;18,8;53,6
322;2022-04-26 18:15:06;18,8;54,1
323;2022-04-26 18:20:06;18,8;54,1
324;2022-04-26 18:25:06;18,7;54,1
325;2022-04-26 18:30:06;18,7;54,6
326;2022-04-26 18:35:06;18,7;54,6
327;2022-04-26 18:40:06;18,7;54,5
328;2022-04-26 18:45:06;18,6;55
329;2022-04-26 18:50:06;18,6;55
330;2022-04-26 18:55:06;18,6;55
331;2022-04-26 19:00:06;18,6;55
332;2022-04-26 19:05:06;18,6;55,5
333;2022-04-26 19:10:06;18,6;55,5
334;2022-04-26 19:15:06;18,6;55,5
335;2022-04-26 19:20:06;18,6;55,5
336;2022-04-26 19:25:06;18,5;55,5
337;2022-04-26 19:30:06;18,5;56
338;2022-04-26 19:35:06;18,5;56,5
339;2022-04-26 19:40:06;18,4;56,5
340;2022-04-26 19:45:06;18,4;56,5
341;2022-04-26 19:50:06;18,4;56,5
342;2022-04-26 19:55:06;18,4;56,5
343;2022-04-26 20:00:06;18,3;56,5
344;2022-04-26 20:05:06;18,3;56,9
345;2022-04-26 20:10:06;18,3;56,9
346;2022-04-26 20:15:06;18,3;56,9
347;2022-04-26 20:20:06;18,3;56,9
348;2022-04-26 20:25:06;18,3;57,4
349;2022-04-26 20:30:06;18,2;57,4
350;2022-04-26 20:35:06;18,2;57,4
351;2022-04-26 20:40:06;18,2;57,4
352;2022-04-26 20:45:06;18,2;57,4
353;2022-04-26 20:50:06;18,2;57,4
354;2022-04-26 20:55:06;18,2;57,9
355;2022-04-26 21:00:06;18,1;57,9
356;2022-04-26 21:05:06;18,1;57,9
357;2022-04-26 21:10:06;18,1;57,9
358;2022-04-26 21:15:06;18,1;57,9
359;2022-04-26 21:20:06;18,1;57,9
360;2022-04-26 21:25:06;18,1;57,9
361;2022-04-26 21:30:06;18;58,3
362;2022-04-26 21:35:06;18;58,3
363;2022-04-26 21:40:06;18;58,3
364;2022-04-26 21:45:06;18;58,3
365;2022-04-26 21:50:06;18;58,3
366;2022-04-26 21:55:06;18;58,3
367;2022-04-26 22:00:06;18;58,3
368;2022-04-26 22:05:06;18;58,3
369;2022-04-26 22:10:06;18;58,3
370;2022-04-26 22:15:06;18;58,3
371;2022-04-26 22:20:06;17,9;58,8
372;2022-04-26 22:25:06;17,9;58,8
373;2022-04-26 22:30:06;17,9;58,8
374;2022-04-26 22:35:06;17,9;58,8
375;2022-04-26 22:40:06;17,9;58,8
376;2022-04-26 22:45:06;17,8;58,8
377;2022-04-26 22:50:06;17,8;58,8
378;2022-04-26 22:55:06;17,8;59,3
379;2022-04-26 23:00:06;17,8;59,3
380;2022-04-26 23:05:06;17,8;59,3
381;2022-04-26 23:10:06;17,7;59,2
382;2022-04-26 23:15:06;17,7;59,2
383;2022-04-26 23:20:06;17,7;59,2
384;2022-04-26 23:25:06;17,7;59,2
385;2022-04-26 23:30:06;17,7;59,2
386;2022-04-26 23:35:06;17,7;59,2
387;2022-04-26 23:40:06;17,7;59,2
388;2022-04-26 23:45:06;17,6;59,2
389;2022-04-26 23:50:06;17,6;59,2
390;2022-04-26 23:55:06;17,6;59,2
391;2022-04-27 00:00:06;17,6;59,2
392;2022-04-27 00:05:06;17,6;59,7
393;2022-04-27 00:10:06;17,6;59,7
394;2022-04-27 00:15:06;17,6;59,7
395;2022-04-27 00:20:06;17,5;59,7
396;2022-04-27 00:25:06;17,5;59,7
397;2022-04-27 00:30:06;17,5;59,7
398;2022-04-27 00:35:06;17,5;59,7
399;2022-04-27 00:40:06;17,5;59,7
400;2022-04-27 00:45:06;17,5;59,7
401;2022-04-27 00:50:06;17,5;59,7
402;2022-04-27 00:55:06;17,5;59,7
403;2022-04-27 01:00:06;17,4;60,2
404;2022-04-27 01:05:06;17,4;60,2
405;2022-04-27 01:10:06;17,4;60,2
406;2022-04-27 01:15:06;17,4;60,2
407;2022-04-27 01:20:06;17,4;60,2
408;2022-04-27 01:25:06;17,4;60,2
409;2022-04-27 01:30:06;17,4;60,2
410;2022-04-27 01:35:06;17,4;60,1
411;2022-04-27 01:40:06;17,4;60,1
412;2022-04-27 01:45:06;17,4;60,1
413;2022-04-27 01:50:06;17,4;60,1
414;2022-04-27 01:55:06;17,4;60,1
415;2022-04-27 02:00:06;17,4;60,1
416;2022-04-27 02:05:06;17,4;60,1
417;2022-04-27 02:10:06;17,4;60,1
418;2022-04-27 02:15:06;17,3;60,1
419;2022-04-27 02:20:06;17,3;60,1
420;2022-04-27 02:25:06;17,3;60,6
421;2022-04-27 02:30:06;17,3;60,6
422;2022-04-27 02:35:06;17,3;60,6
423;2022-04-27 02:40:06;17,3;60,6
424;2022-04-27 02:45:06;17,3;60,6
425;2022-04-27 02:50:06;17,3;60,6
426;2022-04-27 02:55:06;17,3;60,6
427;2022-04-27 03:00:06;17,3;60,6
428;2022-04-27 03:05:06;17,2;60,6
429;2022-04-27 03:10:06;17,2;60,6
430;2022-04-27 03:15:06;17,2;60,6
431;2022-04-27 03:20:06;17,2;61,1
432;2022-04-27 03:25:06;17,2;61,1
433;2022-04-27 03:30:06;17,2;61,1
434;2022-04-27 03:35:06;17,2;61,1
435;2022-04-27 03:40:06;17,2;61,1
436;2022-04-27 03:45:06;17,2;61,1
437;2022-04-27 03:50:06;17,2;61,1
438;2022-04-27 03:55:06;17,2;61,1
439;2022-04-27 04:00:06;17,2;61,1
440;2022-04-27 04:05:06;17,1;61,1
441;2022-04-27 04:10:06;17,1;61
442;2022-04-27 04:15:06;17,1;61
443;2022-04-27 04:20:06;17,1;61
444;2022-04-27 04:25:06;17;61
445;2022-04-27 04:30:06;17;61
446;2022-04-27 04:35:06;17;61
447;2022-04-27 04:40:06;17;61
448;2022-04-27 04:45:06;17;61,5
449;2022-04-27 04:50:06;17;61
450;2022-04-27 04:55:06;17;61,5
451;2022-04-27 05:00:06;17;61,5
452;2022-04-27 05:05:06;17;61,5
453;2022-04-27 05:10:06;17;61,5
454;2022-04-27 05:15:06;17;61,5
455;2022-04-27 05:20:06;17;61
456;2022-04-27 05:25:06;17;61,5
457;2022-04-27 05:30:06;17;61,5
458;2022-04-27 05:35:06;17;61,5
459;2022-04-27 05:40:06;17;61,5
460;2022-04-27 05:45:06;16,9;61,5
461;2022-04-27 05:50:06;16,9;61,5
462;2022-04-27 05:55:06;16,9;61,5
463;2022-04-27 06:00:06;16,9;61,5
464;2022-04-27 06:05:06;16,9;61,5
465;2022-04-27 06:10:06;16,9;61,5
466;2022-04-27 06:15:06;16,8;61,5
467;2022-04-27 06:20:06;16,8;61,5
468;2022-04-27 06:25:06;16,8;61,9
469;2022-04-27 06:30:06;16,8;61,9
470;2022-04-27 06:35:06;16,7;61,9
471;2022-04-27 06:40:06;16,7;61,9
472;2022-04-27 06:45:06;16,7;61,9
473;2022-04-27 06:50:06;16,7;61,9
474;2022-04-27 06:55:06;16,7;61,9
475;2022-04-27 07:00:06;16,7;61,9
476;2022-04-27 07:05:06;16,7;61,9
477;2022-04-27 07:10:06;16,7;61,9
478;2022-04-27 07:15:06;16,7;61,9
479;2022-04-27 07:20:06;16,7;61,9
480;2022-04-27 07:25:06;16,7;61,9
481;2022-04-27 07:30:06;16,7;61,9
482;2022-04-27 07:35:06;16,7;61,9
483;2022-04-27 07:40:06;16,7;61,9
484;2022-04-27 07:45:06;16,7;61,9
485;2022-04-27 07:50:06;16,7;61,9
486;2022-04-27 07:55:06;16,7;61,9
487;2022-04-27 08:00:06;16,7;61,9
488;2022-04-27 08:05:06;16,8;61,9
489;2022-04-27 08:10:06;16,8;61,9
490;2022-04-27 08:15:06;16,8;61,9
491;2022-04-27 08:20:06;16,9;61,9
492;2022-04-27 08:25:06;16,9;62
493;2022-04-27 08:30:06;16,9;61,5
494;2022-04-27 08:35:06;16,9;62
495;2022-04-27 08:40:06;16,9;61,5
496;2022-04-27 08:45:06;17;61,5
497;2022-04-27 08:50:06;17;61,5
498;2022-04-27 08:55:06;17;61,5
499;2022-04-27 09:00:06;17;61,5
500;2022-04-27 09:05:06;17;61,5
501;2022-04-27 09:10:06;17,1;61,5
502;2022-04-27 09:15:06;17,1;61,5
503;2022-04-27 09:20:06;17,1;62
504;2022-04-27 09:25:06;17,1;62
505;2022-04-27 09:30:06;17,1;62
506;2022-04-27 09:35:06;17,2;62
507;2022-04-27 09:40:06;17,2;62
508;2022-04-27 09:45:06;17,2;62
509;2022-04-27 09:50:06;17,2;62
510;2022-04-27 09:55:06;17,2;61,5
511;2022-04-27 10:00:06;17,2;61,5
512;2022-04-27 10:05:06;17,3;62
513;2022-04-27 10:10:06;17,3;61,5
514;2022-04-27 10:15:06;17,3;61,5
515;2022-04-27 10:20:06;17,4;62
516;2022-04-27 10:25:06;17,5;62
517;2022-04-27 10:30:06;17,6;62,1
518;2022-04-27 10:35:06;17,8;61,6
519;2022-04-27 10:40:06;17,9;61,6
520;2022-04-27 10:45:06;17,9;61,2
521;2022-04-27 10:50:06;17,9;61,2
522;2022-04-27 10:55:06;17,9;61,2
523;2022-04-27 11:00:06;17,9;61,2
524;2022-04-27 11:05:06;17,9;61,2
525;2022-04-27 11:10:06;18;61,2
526;2022-04-27 11:15:06;18;60,7
