RC-4HC Temperature+Humidity Data Logger;;;;;
User Information;RC-4HC Data Logger;;;;
Number;V63;;;;
Interval    ;0:5:0 H:M:S;;;;
Delay Time;0,0 H;;;;
Data Sum;2758;;;;
Temperature Maximum;25,6°C;;;;
Temperature Minimum;14,8°C;;;;
Temperature Average;18°C;;;;
Temperature Alarm Upper Limit;60,0°C;;;;
Temperature Alarm Lower Limit;-30,0°C;;;;
Humidity Maximum;99,9%RH;;;;
Humidity Minimum;2,8%RH;;;;
Humidity Average;40,5%RH;;;;
Humidity Alarm Upper Limit;90%RH;;;;
Humidity Alarm Lower Limit;20%RH;;;;
Start Time;2022-04-24 21:53:47;;;;
End Time;2022-05-04 11:38:47;;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;;
Temperature Unit;°C;;;;
Number;Time;Temperature°C;Humidity%RH;;
299;2022-04-25 22:43:47;20,78;53,8;;
300;2022-04-25 22:48:47;20,78;54,3;;
301;2022-04-25 22:53:47;20,78;54,8;;
302;2022-04-25 22:58:47;20,78;54,8;;
303;2022-04-25 23:03:47;20,78;55,3;;
304;2022-04-25 23:08:47;20,78;55,3;;
305;2022-04-25 23:13:47;20,78;55,3;;
306;2022-04-25 23:18:47;20,78;55,7;;
307;2022-04-25 23:23:47;20,78;56,2;;
308;2022-04-25 23:28:47;20,78;56,7;;
309;2022-04-25 23:33:47;20,68;57,2;;
310;2022-04-25 23:38:47;20,68;57,7;;
311;2022-04-25 23:43:47;20,68;58,1;;
312;2022-04-25 23:48:47;20,68;58,6;;
313;2022-04-25 23:53:47;20,68;58,6;;
314;2022-04-25 23:58:47;20,68;58,6;;
315;2022-04-26 00:03:47;20,68;59,1;;
316;2022-04-26 00:08:47;20,68;59,1;;
317;2022-04-26 00:13:47;20,68;58,6;;
318;2022-04-26 00:18:47;20,68;58,6;;
319;2022-04-26 00:23:47;20,68;58,6;;
320;2022-04-26 00:28:47;20,68;58,6;;
321;2022-04-26 00:33:47;20,68;59,1;;
322;2022-04-26 00:38:47;20,68;59,5;;
323;2022-04-26 00:43:47;20,68;59,1;;
324;2022-04-26 00:48:47;20,68;59,1;;
325;2022-04-26 00:53:47;20,68;59,1;;
326;2022-04-26 00:58:47;20,68;59,1;;
327;2022-04-26 01:03:47;20,68;59,1;;
328;2022-04-26 01:08:47;20,68;59,1;;
329;2022-04-26 01:13:47;20,68;59,1;;
330;2022-04-26 01:18:47;20,68;59,1;;
331;2022-04-26 01:23:47;20,68;59,6;;
332;2022-04-26 01:28:47;20,68;59,6;;
333;2022-04-26 01:33:47;20,68;60,0;;
334;2022-04-26 01:38:47;20,58;60,0;;
335;2022-04-26 01:43:47;20,68;60,5;;
336;2022-04-26 01:48:47;20,58;60,5;;
337;2022-04-26 01:53:47;20,58;60,5;;
338;2022-04-26 01:58:47;20,58;60,5;;
339;2022-04-26 02:03:47;20,58;61,0;;
340;2022-04-26 02:08:47;20,58;60,5;;
341;2022-04-26 02:13:47;20,58;60,5;;
342;2022-04-26 02:18:47;20,58;61,0;;
343;2022-04-26 02:23:47;20,58;61,0;;
344;2022-04-26 02:28:47;20,58;61,0;;
345;2022-04-26 02:33:47;20,58;61,0;;
346;2022-04-26 02:38:47;20,58;61,0;;
