RC-4HC Temperature+Humidity Data Logger;;;
User Information;V321;;
Number;00V321;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;1905-10-26 00:00:00;;
Temperature Maximum;26°C;;
Temperature Minimum;19.8°C;;
Temperature Average;21.3°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;49.1%RH;;
Humidity Minimum;35.1%RH;;
Humidity Average;45.6%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-03-03 12:46:49;;
End Time;2022-03-10 21:51:49;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1147;2022-03-07 12:16:49;21.3;45
1148;2022-03-07 12:21:49;21.4;45
1149;2022-03-07 12:26:49;21.4;44.9
1150;2022-03-07 12:31:49;21.5;44.9
1151;2022-03-07 12:36:49;21.4;45
1152;2022-03-07 12:41:49;21.4;45.2
1153;2022-03-07 12:46:49;21.3;45
1154;2022-03-07 12:51:49;21.3;44.8
1155;2022-03-07 12:56:49;21.2;44.7
1156;2022-03-07 13:01:49;21.2;44.4
1157;2022-03-07 13:06:49;21.1;44.2
1158;2022-03-07 13:11:49;21.2;44.4
1159;2022-03-07 13:16:49;21.2;44.7
1160;2022-03-07 13:21:49;21.2;44.7
1161;2022-03-07 13:26:49;21.3;45
1162;2022-03-07 13:31:49;21.4;44.9
1163;2022-03-07 13:36:49;21.3;44.6
1164;2022-03-07 13:41:49;21.3;44.5
1165;2022-03-07 13:46:49;21.3;44.9
1166;2022-03-07 13:51:49;21.3;44.5
1167;2022-03-07 13:56:49;21.2;44.2
1168;2022-03-07 14:01:49;21.2;43.9
1169;2022-03-07 14:06:49;21.2;43.8
1170;2022-03-07 14:11:49;21.2;44.3
1171;2022-03-07 14:16:49;21.3;44.5
1172;2022-03-07 14:21:49;21.2;44.1
1173;2022-03-07 14:26:49;21.2;43.8
1174;2022-03-07 14:31:49;21.2;43.6
1175;2022-03-07 14:36:49;21.2;43.4
1176;2022-03-07 14:41:49;21.2;43.2
1177;2022-03-07 14:46:49;21.2;43
1178;2022-03-07 14:51:49;21.2;42.8
1179;2022-03-07 14:56:49;21.2;42.8
1180;2022-03-07 15:01:49;21.3;42.6
1181;2022-03-07 15:06:49;21.3;42.5
1182;2022-03-07 15:11:49;21.3;42.3
1183;2022-03-07 15:16:49;21.4;42.2
1184;2022-03-07 15:21:49;21.4;42.1
1185;2022-03-07 15:26:49;21.4;41.9
1186;2022-03-07 15:31:49;21.5;41.7
1187;2022-03-07 15:36:49;21.5;41.6
1188;2022-03-07 15:41:49;21.5;41.5
1189;2022-03-07 15:46:49;21.5;41.5
1190;2022-03-07 15:51:49;21.5;41.4
1191;2022-03-07 15:56:49;21.6;41.2
1192;2022-03-07 16:01:49;21.6;41.1
1193;2022-03-07 16:06:49;21.6;41
1194;2022-03-07 16:11:49;21.6;40.9
1195;2022-03-07 16:16:49;21.6;40.8
1196;2022-03-07 16:21:49;21.6;40.8
1197;2022-03-07 16:26:49;21.5;40.7
1198;2022-03-07 16:31:49;21.5;40.7
1199;2022-03-07 16:36:49;21.4;40.7
1200;2022-03-07 16:41:49;21.3;40.6
1201;2022-03-07 16:46:49;21.3;40.6
1202;2022-03-07 16:51:49;21.2;40.6
1203;2022-03-07 16:56:49;21.2;40.6
1204;2022-03-07 17:01:49;21.1;40.6
1205;2022-03-07 17:06:49;21.1;40.6
1206;2022-03-07 17:11:49;21;40.6
1207;2022-03-07 17:16:49;21;40.6
1208;2022-03-07 17:21:49;21.1;40.7
1209;2022-03-07 17:26:49;21.3;40.7
1210;2022-03-07 17:31:49;21.4;40.7
1211;2022-03-07 17:36:49;21.5;40.7
1212;2022-03-07 17:41:49;21.5;40.7
1213;2022-03-07 17:46:49;21.5;40.7
1214;2022-03-07 17:51:49;21.6;40.8
1215;2022-03-07 17:56:49;21.6;40.9
1216;2022-03-07 18:01:49;21.7;41
1217;2022-03-07 18:06:49;21.7;41.1
1218;2022-03-07 18:11:49;21.7;41.2
1219;2022-03-07 18:16:49;21.7;41.3
1220;2022-03-07 18:21:49;21.7;41.3
1221;2022-03-07 18:26:49;21.7;41.4
1222;2022-03-07 18:31:49;21.7;41.4
1223;2022-03-07 18:36:49;21.7;41.5
1224;2022-03-07 18:41:49;21.8;41.5
1225;2022-03-07 18:46:49;21.8;41.6
1226;2022-03-07 18:51:49;21.8;41.6
1227;2022-03-07 18:56:49;21.8;41.6
1228;2022-03-07 19:01:49;21.8;41.6
1229;2022-03-07 19:06:49;21.8;41.7
1230;2022-03-07 19:11:49;21.8;41.7
1231;2022-03-07 19:16:49;21.8;41.8
1232;2022-03-07 19:21:49;21.8;41.8
1233;2022-03-07 19:26:49;21.8;41.8
1234;2022-03-07 19:31:49;21.8;41.9
1235;2022-03-07 19:36:49;21.8;41.9
1236;2022-03-07 19:41:49;21.8;41.9
1237;2022-03-07 19:46:49;21.8;42
1238;2022-03-07 19:51:49;21.8;42
1239;2022-03-07 19:56:49;21.8;42.1
1240;2022-03-07 20:01:49;21.8;42.1
1241;2022-03-07 20:06:49;21.8;42.1
1242;2022-03-07 20:11:49;21.7;42.2
1243;2022-03-07 20:16:49;21.7;42.2
1244;2022-03-07 20:21:49;21.7;42.3
1245;2022-03-07 20:26:49;21.7;42.3
1246;2022-03-07 20:31:49;21.7;42.4
1247;2022-03-07 20:36:49;21.7;42.4
1248;2022-03-07 20:41:49;21.6;42.4
1249;2022-03-07 20:46:49;21.6;42.5
1250;2022-03-07 20:51:49;21.6;42.5
1251;2022-03-07 20:56:49;21.6;42.6
1252;2022-03-07 21:01:49;21.6;42.7
1253;2022-03-07 21:06:49;21.5;42.7
1254;2022-03-07 21:11:49;21.5;42.8
1255;2022-03-07 21:16:49;21.5;42.8
1256;2022-03-07 21:21:49;21.5;42.9
1257;2022-03-07 21:26:49;21.5;42.9
1258;2022-03-07 21:31:49;21.5;42.9
1259;2022-03-07 21:36:49;21.5;43
1260;2022-03-07 21:41:49;21.5;43
1261;2022-03-07 21:46:49;21.5;43.1
1262;2022-03-07 21:51:49;21.5;43.2
1263;2022-03-07 21:56:49;21.5;43.2
1264;2022-03-07 22:01:49;21.5;43.3
1265;2022-03-07 22:06:49;21.4;43.3
1266;2022-03-07 22:11:49;21.4;43.4
1267;2022-03-07 22:16:49;21.4;43.4
1268;2022-03-07 22:21:49;21.4;43.5
1269;2022-03-07 22:26:49;21.4;43.6
1270;2022-03-07 22:31:49;21.4;43.6
1271;2022-03-07 22:36:49;21.4;43.6
1272;2022-03-07 22:41:49;21.3;43.7
1273;2022-03-07 22:46:49;21.3;43.7
1274;2022-03-07 22:51:49;21.3;43.8
1275;2022-03-07 22:56:49;21.3;43.8
1276;2022-03-07 23:01:49;21.3;43.9
1277;2022-03-07 23:06:49;21.3;43.9
1278;2022-03-07 23:11:49;21.2;44
1279;2022-03-07 23:16:49;21.2;44.1
1280;2022-03-07 23:21:49;21.2;44.1
1281;2022-03-07 23:26:49;21.2;44.2
1282;2022-03-07 23:31:49;21.2;44.2
1283;2022-03-07 23:36:49;21.2;44.3
1284;2022-03-07 23:41:49;21.1;44.3
1285;2022-03-07 23:46:49;21.1;44.3
1286;2022-03-07 23:51:49;21.1;44.4
1287;2022-03-07 23:56:49;21.1;44.4
1288;2022-03-08 00:01:49;21.1;44.5
1289;2022-03-08 00:06:49;21.1;44.5
1290;2022-03-08 00:11:49;21;44.6
1291;2022-03-08 00:16:49;21;44.6
1292;2022-03-08 00:21:49;21;44.7
1293;2022-03-08 00:26:49;21;44.7
1294;2022-03-08 00:31:49;21;44.7
1295;2022-03-08 00:36:49;21;44.8
1296;2022-03-08 00:41:49;21;44.8
1297;2022-03-08 00:46:49;20.9;44.9
1298;2022-03-08 00:51:49;20.9;44.9
1299;2022-03-08 00:56:49;20.9;45
1300;2022-03-08 01:01:49;20.9;45
1301;2022-03-08 01:06:49;20.9;45.1
1302;2022-03-08 01:11:49;20.9;45.1
1303;2022-03-08 01:16:49;20.9;45.1
1304;2022-03-08 01:21:49;20.9;45.2
1305;2022-03-08 01:26:49;20.9;45.2
1306;2022-03-08 01:31:49;20.9;45.2
1307;2022-03-08 01:36:49;20.8;45.3
1308;2022-03-08 01:41:49;20.8;45.3
1309;2022-03-08 01:46:49;20.8;45.4
1310;2022-03-08 01:51:49;20.8;45.4
1311;2022-03-08 01:56:49;20.8;45.5
1312;2022-03-08 02:01:49;20.8;45.5
1313;2022-03-08 02:06:49;20.7;45.5
1314;2022-03-08 02:11:49;20.7;45.6
1315;2022-03-08 02:16:49;20.7;45.6
1316;2022-03-08 02:21:49;20.7;45.6
1317;2022-03-08 02:26:49;20.7;45.6
1318;2022-03-08 02:31:49;20.7;45.6
1319;2022-03-08 02:36:49;20.7;45.7
1320;2022-03-08 02:41:49;20.6;45.7
1321;2022-03-08 02:46:49;20.6;45.7
1322;2022-03-08 02:51:49;20.6;45.7
1323;2022-03-08 02:56:49;20.6;45.7
1324;2022-03-08 03:01:49;20.6;45.7
1325;2022-03-08 03:06:49;20.6;45.8
1326;2022-03-08 03:11:49;20.6;45.8
1327;2022-03-08 03:16:49;20.6;45.8
1328;2022-03-08 03:21:49;20.5;45.9
1329;2022-03-08 03:26:49;20.5;45.9
1330;2022-03-08 03:31:49;20.5;45.9
1331;2022-03-08 03:36:49;20.5;45.9
1332;2022-03-08 03:41:49;20.5;46
1333;2022-03-08 03:46:49;20.5;46
1334;2022-03-08 03:51:49;20.5;46
1335;2022-03-08 03:56:49;20.5;46.1
1336;2022-03-08 04:01:49;20.5;46.1
1337;2022-03-08 04:06:49;20.5;46.1
1338;2022-03-08 04:11:49;20.4;46.1
1339;2022-03-08 04:16:49;20.4;46.2
1340;2022-03-08 04:21:49;20.4;46.2
1341;2022-03-08 04:26:49;20.4;46.2
1342;2022-03-08 04:31:49;20.4;46.2
1343;2022-03-08 04:36:49;20.4;46.3
1344;2022-03-08 04:41:49;20.4;46.3
1345;2022-03-08 04:46:49;20.4;46.3
1346;2022-03-08 04:51:49;20.4;46.4
1347;2022-03-08 04:56:49;20.3;46.4
1348;2022-03-08 05:01:49;20.3;46.4
1349;2022-03-08 05:06:49;20.3;46.5
1350;2022-03-08 05:11:49;20.3;46.5
1351;2022-03-08 05:16:49;20.3;46.5
1352;2022-03-08 05:21:49;20.3;46.5
1353;2022-03-08 05:26:49;20.3;46.6
1354;2022-03-08 05:31:49;20.3;46.6
1355;2022-03-08 05:36:49;20.3;46.6
1356;2022-03-08 05:41:49;20.3;46.7
1357;2022-03-08 05:46:49;20.3;46.7
1358;2022-03-08 05:51:49;20.3;46.7
1359;2022-03-08 05:56:49;20.3;46.7
1360;2022-03-08 06:01:49;20.3;46.7
1361;2022-03-08 06:06:49;20.3;46.8
1362;2022-03-08 06:11:49;20.3;46.8
1363;2022-03-08 06:16:49;20.2;46.8
1364;2022-03-08 06:21:49;20.2;46.8
1365;2022-03-08 06:26:49;20.2;46.9
1366;2022-03-08 06:31:49;20.2;46.9
1367;2022-03-08 06:36:49;20.2;46.9
1368;2022-03-08 06:41:49;20.2;46.9
1369;2022-03-08 06:46:49;20.2;46.9
1370;2022-03-08 06:51:49;20.2;47
1371;2022-03-08 06:56:49;20.2;47
1372;2022-03-08 07:01:49;20.2;47
1373;2022-03-08 07:06:49;20.2;47
1374;2022-03-08 07:11:49;20.2;47
1375;2022-03-08 07:16:49;20.2;47.1
1376;2022-03-08 07:21:49;20.1;47.1
1377;2022-03-08 07:26:49;20.1;47.1
1378;2022-03-08 07:31:49;20.1;47.1
1379;2022-03-08 07:36:49;20.1;47.1
1380;2022-03-08 07:41:49;20.1;47.1
1381;2022-03-08 07:46:49;20.1;47.2
1382;2022-03-08 07:51:49;20.1;47.2
1383;2022-03-08 07:56:49;20.1;47.2
1384;2022-03-08 08:01:49;20.1;47.2
1385;2022-03-08 08:06:49;20.1;47.2
1386;2022-03-08 08:11:49;20.1;47.3
1387;2022-03-08 08:16:49;20.1;47.3
1388;2022-03-08 08:21:49;20.1;47.3
1389;2022-03-08 08:26:49;20.1;47.3
1390;2022-03-08 08:31:49;20.1;47.3
1391;2022-03-08 08:36:49;20.1;47.3
1392;2022-03-08 08:41:49;20.1;47.3
1393;2022-03-08 08:46:49;20.1;47.3
1394;2022-03-08 08:51:49;20.1;47.3
1395;2022-03-08 08:56:49;20.2;47.1
1396;2022-03-08 09:01:49;20.2;47.1
1397;2022-03-08 09:06:49;20.2;46.9
1398;2022-03-08 09:11:49;20.2;46.9
1399;2022-03-08 09:16:49;20.2;46.8
1400;2022-03-08 09:21:49;20.3;46.8
1401;2022-03-08 09:26:49;20.3;46.7
1402;2022-03-08 09:31:49;20.3;46.7
1403;2022-03-08 09:36:49;20.3;46.7
1404;2022-03-08 09:41:49;20.3;46.6
1405;2022-03-08 09:46:49;20.4;46.5
1406;2022-03-08 09:51:49;20.4;46.4
1407;2022-03-08 09:56:49;20.5;46.4
1408;2022-03-08 10:01:49;20.5;46.3
1409;2022-03-08 10:06:49;20.5;46.2
1410;2022-03-08 10:11:49;20.5;46.1
1411;2022-03-08 10:16:49;20.6;46.1
1412;2022-03-08 10:21:49;20.6;46
1413;2022-03-08 10:26:49;20.6;46
1414;2022-03-08 10:31:49;20.7;45.9
1415;2022-03-08 10:36:49;20.7;45.8
1416;2022-03-08 10:41:49;20.8;45.8
1417;2022-03-08 10:46:49;20.8;45.6
1418;2022-03-08 10:51:49;20.9;45.5
1419;2022-03-08 10:56:49;20.9;45.4
1420;2022-03-08 11:01:49;20.9;45.4
1421;2022-03-08 11:06:49;20.9;45.4
1422;2022-03-08 11:11:49;21;45.3
1423;2022-03-08 11:16:49;21;45.3
1424;2022-03-08 11:21:49;21.1;45.1
1425;2022-03-08 11:26:49;21.1;45.1
1426;2022-03-08 11:31:49;21.2;45
1427;2022-03-08 11:36:49;21.2;45
1428;2022-03-08 11:41:49;21.3;44.9
1429;2022-03-08 11:46:49;21.4;44.9
1430;2022-03-08 11:51:49;21.4;44.8
1431;2022-03-08 11:56:49;21.5;44.7
1432;2022-03-08 12:01:49;21.5;44.7
1433;2022-03-08 12:06:49;21.5;44.8
1434;2022-03-08 12:11:49;21.5;45
1435;2022-03-08 12:16:49;21.5;44.9
1436;2022-03-08 12:21:49;21.4;44.8
1437;2022-03-08 12:26:49;21.3;44.7
1438;2022-03-08 12:31:49;21.3;44.5
1439;2022-03-08 12:36:49;21.3;44.4
1440;2022-03-08 12:41:49;21.2;44.2
1441;2022-03-08 12:46:49;21.2;44
1442;2022-03-08 12:51:49;21.3;43.9
1443;2022-03-08 12:56:49;21.3;43.8
1444;2022-03-08 13:01:49;21.4;43.6
1445;2022-03-08 13:06:49;21.4;43.4
1446;2022-03-08 13:11:49;21.3;43.1
1447;2022-03-08 13:16:49;21.3;42.9
1448;2022-03-08 13:21:49;21.3;42.9
1449;2022-03-08 13:26:49;21.2;42.8
1450;2022-03-08 13:31:49;21.3;43.4
1451;2022-03-08 13:36:49;21.3;43.7
1452;2022-03-08 13:41:49;21.3;43.5
1453;2022-03-08 13:46:49;21.4;44.1
1454;2022-03-08 13:51:49;21.4;44.1
1455;2022-03-08 13:56:49;21.4;43.8
1456;2022-03-08 14:01:49;21.3;43.5
1457;2022-03-08 14:06:49;21.4;43.5
1458;2022-03-08 14:11:49;21.4;44
1459;2022-03-08 14:16:49;21.5;44.4
1460;2022-03-08 14:21:49;21.5;44.2
1461;2022-03-08 14:26:49;21.5;44.5
1462;2022-03-08 14:31:49;21.5;44
1463;2022-03-08 14:36:49;21.5;43.5
1464;2022-03-08 14:41:49;21.4;43.1
1465;2022-03-08 14:46:49;21.4;42.8
1466;2022-03-08 14:51:49;21.4;42.6
1467;2022-03-08 14:56:49;21.4;42.3
1468;2022-03-08 15:01:49;21.4;42.2
1469;2022-03-08 15:06:49;21.4;42
1470;2022-03-08 15:11:49;21.4;41.9
1471;2022-03-08 15:16:49;21.4;41.7
1472;2022-03-08 15:21:49;21.4;41.4
1473;2022-03-08 15:26:49;21.4;41.3
1474;2022-03-08 15:31:49;21.4;41.2
1475;2022-03-08 15:36:49;21.4;41.1
1476;2022-03-08 15:41:49;21.5;41.1
1477;2022-03-08 15:46:49;21.5;41
1478;2022-03-08 15:51:49;21.5;40.9
1479;2022-03-08 15:56:49;21.5;40.8
1480;2022-03-08 16:01:49;21.5;40.7
1481;2022-03-08 16:06:49;21.5;40.7
1482;2022-03-08 16:11:49;21.5;40.6
1483;2022-03-08 16:16:49;21.5;40.6
1484;2022-03-08 16:21:49;21.5;40.5
1485;2022-03-08 16:26:49;21.4;40.5
1486;2022-03-08 16:31:49;21.4;40.5
1487;2022-03-08 16:36:49;21.3;40.6
1488;2022-03-08 16:41:49;21.3;40.6
1489;2022-03-08 16:46:49;21.2;40.7
1490;2022-03-08 16:51:49;21.2;40.7
1491;2022-03-08 16:56:49;21.2;40.8
1492;2022-03-08 17:01:49;21.2;40.9
1493;2022-03-08 17:06:49;21.2;40.8
1494;2022-03-08 17:11:49;21.1;40.9
1495;2022-03-08 17:16:49;21.1;41
1496;2022-03-08 17:21:49;21.2;41.1
1497;2022-03-08 17:26:49;21.3;41.1
1498;2022-03-08 17:31:49;21.3;41.1
1499;2022-03-08 17:36:49;21.4;41.1
1500;2022-03-08 17:41:49;21.4;41.2
1501;2022-03-08 17:46:49;21.4;41.3
1502;2022-03-08 17:51:49;21.4;41.4
1503;2022-03-08 17:56:49;21.5;41.5
1504;2022-03-08 18:01:49;21.5;41.6
1505;2022-03-08 18:06:49;21.5;41.6
1506;2022-03-08 18:11:49;21.5;41.7
1507;2022-03-08 18:16:49;21.5;41.8
1508;2022-03-08 18:21:49;21.5;41.9
1509;2022-03-08 18:26:49;21.5;42
1510;2022-03-08 18:31:49;21.5;42
1511;2022-03-08 18:36:49;21.5;42.1
1512;2022-03-08 18:41:49;21.5;42.1
1513;2022-03-08 18:46:49;21.5;42.2
1514;2022-03-08 18:51:49;21.5;42.2
1515;2022-03-08 18:56:49;21.5;42.3
1516;2022-03-08 19:01:49;21.5;42.3
1517;2022-03-08 19:06:49;21.5;42.4
1518;2022-03-08 19:11:49;21.5;42.4
1519;2022-03-08 19:16:49;21.5;42.5
1520;2022-03-08 19:21:49;21.5;42.5
1521;2022-03-08 19:26:49;21.5;42.6
1522;2022-03-08 19:31:49;21.5;42.6
1523;2022-03-08 19:36:49;21.4;42.7
1524;2022-03-08 19:41:49;21.4;42.8
1525;2022-03-08 19:46:49;21.4;42.9
1526;2022-03-08 19:51:49;21.4;42.9
1527;2022-03-08 19:56:49;21.4;43
1528;2022-03-08 20:01:49;21.4;43
1529;2022-03-08 20:06:49;21.4;43.1
1530;2022-03-08 20:11:49;21.4;43.2
1531;2022-03-08 20:16:49;21.3;43.3
1532;2022-03-08 20:21:49;21.3;43.3
1533;2022-03-08 20:26:49;21.3;43.4
1534;2022-03-08 20:31:49;21.3;43.4
1535;2022-03-08 20:36:49;21.3;43.5
1536;2022-03-08 20:41:49;21.2;43.6
1537;2022-03-08 20:46:49;21.2;43.6
1538;2022-03-08 20:51:49;21.2;43.6
1539;2022-03-08 20:56:49;21.2;43.7
1540;2022-03-08 21:01:49;21.2;43.7
1541;2022-03-08 21:06:49;21.2;43.8
1542;2022-03-08 21:11:49;21.1;43.8
1543;2022-03-08 21:16:49;21.1;43.8
1544;2022-03-08 21:21:49;21.1;43.9
1545;2022-03-08 21:26:49;21.1;43.9
1546;2022-03-08 21:31:49;21.1;43.9
1547;2022-03-08 21:36:49;21.1;43.9
1548;2022-03-08 21:41:49;21.1;44
1549;2022-03-08 21:46:49;21;44
1550;2022-03-08 21:51:49;21;44.1
1551;2022-03-08 21:56:49;21;44.1
1552;2022-03-08 22:01:49;21;44.1
1553;2022-03-08 22:06:49;21;44.2
1554;2022-03-08 22:11:49;21;44.2
1555;2022-03-08 22:16:49;20.9;44.3
1556;2022-03-08 22:21:49;20.9;44.3
1557;2022-03-08 22:26:49;20.9;44.4
1558;2022-03-08 22:31:49;20.9;44.4
1559;2022-03-08 22:36:49;20.9;44.5
1560;2022-03-08 22:41:49;20.9;44.5
1561;2022-03-08 22:46:49;20.9;44.6
1562;2022-03-08 22:51:49;20.9;44.6
1563;2022-03-08 22:56:49;20.9;44.7
1564;2022-03-08 23:01:49;20.9;44.7
1565;2022-03-08 23:06:49;20.8;44.7
1566;2022-03-08 23:11:49;20.8;44.8
1567;2022-03-08 23:16:49;20.8;44.8
1568;2022-03-08 23:21:49;20.8;44.8
1569;2022-03-08 23:26:49;20.8;44.9
1570;2022-03-08 23:31:49;20.8;44.9
1571;2022-03-08 23:36:49;20.8;45
1572;2022-03-08 23:41:49;20.8;45
1573;2022-03-08 23:46:49;20.8;45
1574;2022-03-08 23:51:49;20.7;45
1575;2022-03-08 23:56:49;20.7;45.1
1576;2022-03-09 00:01:49;20.7;45.1
1577;2022-03-09 00:06:49;20.7;45.2
1578;2022-03-09 00:11:49;20.7;45.2
1579;2022-03-09 00:16:49;20.7;45.3
1580;2022-03-09 00:21:49;20.6;45.3
1581;2022-03-09 00:26:49;20.6;45.4
1582;2022-03-09 00:31:49;20.6;45.3
1583;2022-03-09 00:36:49;20.6;45.4
1584;2022-03-09 00:41:49;20.6;45.4
1585;2022-03-09 00:46:49;20.6;45.4
1586;2022-03-09 00:51:49;20.6;45.5
1587;2022-03-09 00:56:49;20.6;45.5
1588;2022-03-09 01:01:49;20.5;45.5
1589;2022-03-09 01:06:49;20.5;45.5
1590;2022-03-09 01:11:49;20.5;45.6
1591;2022-03-09 01:16:49;20.5;45.6
1592;2022-03-09 01:21:49;20.5;45.6
1593;2022-03-09 01:26:49;20.5;45.6
1594;2022-03-09 01:31:49;20.5;45.6
1595;2022-03-09 01:36:49;20.5;45.7
1596;2022-03-09 01:41:49;20.5;45.7
1597;2022-03-09 01:46:49;20.4;45.7
1598;2022-03-09 01:51:49;20.4;45.7
1599;2022-03-09 01:56:49;20.4;45.7
1600;2022-03-09 02:01:49;20.4;45.8
1601;2022-03-09 02:06:49;20.4;45.8
1602;2022-03-09 02:11:49;20.4;45.8
1603;2022-03-09 02:16:49;20.4;45.8
1604;2022-03-09 02:21:49;20.4;45.8
1605;2022-03-09 02:26:49;20.4;45.9
1606;2022-03-09 02:31:49;20.4;45.9
1607;2022-03-09 02:36:49;20.3;45.9
1608;2022-03-09 02:41:49;20.3;45.9
1609;2022-03-09 02:46:49;20.3;45.9
1610;2022-03-09 02:51:49;20.3;46
1611;2022-03-09 02:56:49;20.3;46
1612;2022-03-09 03:01:49;20.3;46
1613;2022-03-09 03:06:49;20.3;46
1614;2022-03-09 03:11:49;20.3;46
1615;2022-03-09 03:16:49;20.3;46.1
1616;2022-03-09 03:21:49;20.3;46.1
1617;2022-03-09 03:26:49;20.3;46.1
1618;2022-03-09 03:31:49;20.3;46.1
1619;2022-03-09 03:36:49;20.3;46.2
1620;2022-03-09 03:41:49;20.3;46.2
1621;2022-03-09 03:46:49;20.3;46.2
1622;2022-03-09 03:51:49;20.3;46.2
1623;2022-03-09 03:56:49;20.2;46.3
1624;2022-03-09 04:01:49;20.2;46.3
1625;2022-03-09 04:06:49;20.2;46.3
1626;2022-03-09 04:11:49;20.2;46.4
1627;2022-03-09 04:16:49;20.2;46.4
1628;2022-03-09 04:21:49;20.2;46.4
1629;2022-03-09 04:26:49;20.2;46.5
1630;2022-03-09 04:31:49;20.2;46.5
1631;2022-03-09 04:36:49;20.1;46.5
1632;2022-03-09 04:41:49;20.1;46.6
1633;2022-03-09 04:46:49;20.1;46.6
1634;2022-03-09 04:51:49;20.1;46.6
1635;2022-03-09 04:56:49;20.1;46.6
1636;2022-03-09 05:01:49;20.1;46.7
1637;2022-03-09 05:06:49;20.1;46.7
1638;2022-03-09 05:11:49;20.1;46.7
1639;2022-03-09 05:16:49;20.1;46.7
1640;2022-03-09 05:21:49;20.1;46.8
1641;2022-03-09 05:26:49;20.1;46.8
1642;2022-03-09 05:31:49;20;46.8
1643;2022-03-09 05:36:49;20;46.8
1644;2022-03-09 05:41:49;20;46.9
1645;2022-03-09 05:46:49;20;46.9
1646;2022-03-09 05:51:49;20;46.9
1647;2022-03-09 05:56:49;20;46.9
1648;2022-03-09 06:01:49;20;47
1649;2022-03-09 06:06:49;20;47
1650;2022-03-09 06:11:49;20;47
1651;2022-03-09 06:16:49;19.9;47.1
1652;2022-03-09 06:21:49;19.9;47.1
1653;2022-03-09 06:26:49;19.9;47.1
1654;2022-03-09 06:31:49;19.9;47.2
1655;2022-03-09 06:36:49;19.9;47.2
1656;2022-03-09 06:41:49;19.9;47.2
1657;2022-03-09 06:46:49;19.9;47.2
1658;2022-03-09 06:51:49;19.9;47.2
1659;2022-03-09 06:56:49;19.9;47.3
1660;2022-03-09 07:01:49;19.9;47.3
1661;2022-03-09 07:06:49;19.9;47.3
1662;2022-03-09 07:11:49;19.9;47.3
1663;2022-03-09 07:16:49;19.8;47.4
1664;2022-03-09 07:21:49;19.8;47.4
1665;2022-03-09 07:26:49;19.8;47.4
1666;2022-03-09 07:31:49;19.8;47.5
1667;2022-03-09 07:36:49;19.8;47.5
1668;2022-03-09 07:41:49;19.8;47.5
1669;2022-03-09 07:46:49;19.8;47.5
1670;2022-03-09 07:51:49;19.8;47.6
1671;2022-03-09 07:56:49;19.8;47.6
1672;2022-03-09 08:01:49;19.8;47.6
1673;2022-03-09 08:06:49;19.8;47.6
1674;2022-03-09 08:11:49;19.8;47.7
1675;2022-03-09 08:16:49;19.8;47.7
1676;2022-03-09 08:21:49;19.8;47.7
1677;2022-03-09 08:26:49;19.8;47.7
1678;2022-03-09 08:31:49;19.8;47.7
1679;2022-03-09 08:36:49;19.8;47.7
1680;2022-03-09 08:41:49;19.8;47.7
1681;2022-03-09 08:46:49;19.8;47.7
1682;2022-03-09 08:51:49;19.8;47.7
1683;2022-03-09 08:56:49;19.9;47.7
1684;2022-03-09 09:01:49;19.9;47.7
1685;2022-03-09 09:06:49;19.9;47.7
1686;2022-03-09 09:11:49;19.9;47.7
1687;2022-03-09 09:16:49;20;47.7
1688;2022-03-09 09:21:49;20;47.6
1689;2022-03-09 09:26:49;20;47.6
1690;2022-03-09 09:31:49;20;47.6
1691;2022-03-09 09:36:49;20.1;47.6
1692;2022-03-09 09:41:49;20.1;47.6
1693;2022-03-09 09:46:49;20.1;47.5
1694;2022-03-09 09:51:49;20.1;47.5
1695;2022-03-09 09:56:49;20.1;47.5
1696;2022-03-09 10:01:49;20.2;47.5
1697;2022-03-09 10:06:49;20.2;47.4
1698;2022-03-09 10:11:49;20.2;47.4
1699;2022-03-09 10:16:49;20.2;47.4
1700;2022-03-09 10:21:49;20.3;47.4
1701;2022-03-09 10:26:49;20.3;47.4
1702;2022-03-09 10:31:49;20.3;47.3
1703;2022-03-09 10:36:49;20.3;47.4
1704;2022-03-09 10:41:49;20.3;47.3
1705;2022-03-09 10:46:49;20.3;47.3
1706;2022-03-09 10:51:49;20.3;47.3
1707;2022-03-09 10:56:49;20.4;47.3
1708;2022-03-09 11:01:49;20.4;47.2
1709;2022-03-09 11:06:49;20.4;47.2
1710;2022-03-09 11:11:49;20.4;47.2
1711;2022-03-09 11:16:49;20.5;47.2
1712;2022-03-09 11:21:49;20.5;47.1
1713;2022-03-09 11:26:49;20.6;47.1
1714;2022-03-09 11:31:49;20.6;47.1
1715;2022-03-09 11:36:49;20.6;47.1
1716;2022-03-09 11:41:49;20.7;47.1
1717;2022-03-09 11:46:49;20.7;47.1
1718;2022-03-09 11:51:49;20.8;47
1719;2022-03-09 11:56:49;20.8;46.9
1720;2022-03-09 12:01:49;20.8;46.9
