RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data LoggerV342;;
Number;7184200118;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2545;;
Temperature Maximum;24°C;;
Temperature Minimum;14,8°C;;
Temperature Average;17,9°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;63%RH;;
Humidity Minimum;43,3%RH;;
Humidity Average;55,1%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-25 15:42:01;;
End Time;2022-05-04 11:42:01;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
187;2022-04-26 07:12:01;20,6;50,9
188;2022-04-26 07:17:01;20,6;50,9
189;2022-04-26 07:22:01;20,6;50,9
190;2022-04-26 07:27:01;20,6;50,9
191;2022-04-26 07:32:01;20,6;50,9
192;2022-04-26 07:37:01;20,6;50,9
193;2022-04-26 07:42:01;20,6;50,9
194;2022-04-26 07:47:01;20,6;50,9
195;2022-04-26 07:52:01;20,6;50,9
196;2022-04-26 07:57:01;20,6;50,9
197;2022-04-26 08:02:01;20,6;50,9
198;2022-04-26 08:07:01;20,6;50,9
199;2022-04-26 08:12:01;20,6;50,9
200;2022-04-26 08:17:01;20,6;50,9
201;2022-04-26 08:22:01;20,6;50,9
202;2022-04-26 08:27:01;20,6;51,4
203;2022-04-26 08:32:01;20,6;51,4
204;2022-04-26 08:37:01;20,6;50,9
205;2022-04-26 08:42:01;20,6;51,9
206;2022-04-26 08:47:01;20,5;51,9
207;2022-04-26 08:52:01;20,5;51,9
208;2022-04-26 08:57:01;20,5;51,9
209;2022-04-26 09:02:01;20,3;52,9
210;2022-04-26 09:07:01;19,8;53,8
211;2022-04-26 09:12:01;19,5;54,8
212;2022-04-26 09:17:01;19,2;54,7
213;2022-04-26 09:22:01;19,1;55,2
214;2022-04-26 09:27:01;18,9;55,7
215;2022-04-26 09:32:01;18,8;56,1
216;2022-04-26 09:37:01;18,7;56,1
217;2022-04-26 09:42:01;21,4;60,7
218;2022-04-26 09:47:01;22,6;58,5
219;2022-04-26 09:52:01;23;54,7
220;2022-04-26 09:57:01;23,5;54,7
221;2022-04-26 10:02:01;24;52,8
222;2022-04-26 10:07:01;22,9;50,7
223;2022-04-26 10:12:01;20,5;53,9
224;2022-04-26 10:17:01;19,7;55,8
225;2022-04-26 10:22:01;19,2;56,7
226;2022-04-26 10:27:01;19;57,1
227;2022-04-26 10:32:01;18,9;57,6
228;2022-04-26 10:37:01;18,8;57,6
229;2022-04-26 10:42:01;18,8;58,1
230;2022-04-26 10:47:01;18,7;58,1
231;2022-04-26 10:52:01;18,8;58,1
232;2022-04-26 10:57:01;18,8;58,5
233;2022-04-26 11:02:01;18,8;58,5
234;2022-04-26 11:07:01;18,8;58,1
235;2022-04-26 11:12:01;18,8;58,1
236;2022-04-26 11:17:01;18,8;58,5
237;2022-04-26 11:22:01;18,8;58,5
238;2022-04-26 11:27:01;18,8;58,1
239;2022-04-26 11:32:01;18,8;58,5
240;2022-04-26 11:37:01;18,8;57,6
241;2022-04-26 11:42:01;18,8;57,6
242;2022-04-26 11:47:01;18,9;58,1
243;2022-04-26 11:52:01;18,9;57,6
244;2022-04-26 11:57:01;19;57,6
245;2022-04-26 12:02:01;19,1;57,6
246;2022-04-26 12:07:01;19,2;57,6
247;2022-04-26 12:12:01;19,2;57,2
248;2022-04-26 12:17:01;19,3;56,2
249;2022-04-26 12:22:01;19,4;55,7
250;2022-04-26 12:27:01;19,4;55,2
251;2022-04-26 12:32:01;19,4;55,2
252;2022-04-26 12:37:01;19,4;55,2
253;2022-04-26 12:42:01;19,4;55,2
254;2022-04-26 12:47:01;19,4;55,2
255;2022-04-26 12:52:01;19,4;55,2
256;2022-04-26 12:57:01;19,4;54,7
257;2022-04-26 13:02:01;19,4;54,7
258;2022-04-26 13:07:01;19,3;54,7
259;2022-04-26 13:12:01;19,3;54,7
260;2022-04-26 13:17:01;19,3;54,2
261;2022-04-26 13:22:01;19,3;53,7
262;2022-04-26 13:27:01;19,3;54,2
263;2022-04-26 13:32:01;19,3;54,2
264;2022-04-26 13:37:01;19,3;54,2
265;2022-04-26 13:42:01;19,3;53,7
266;2022-04-26 13:47:01;19,3;53,2
267;2022-04-26 13:52:01;19,3;53,2
268;2022-04-26 13:57:01;19,3;52,7
269;2022-04-26 14:02:01;19,3;52,7
270;2022-04-26 14:07:01;19,3;52,7
271;2022-04-26 14:12:01;19,3;51,7
272;2022-04-26 14:17:01;19,3;51,7
273;2022-04-26 14:22:01;19,3;51,7
274;2022-04-26 14:27:01;19,2;50,7
275;2022-04-26 14:32:01;19,2;51,7
276;2022-04-26 14:37:01;19,2;51,7
277;2022-04-26 14:42:01;19,2;51,7
278;2022-04-26 14:47:01;19,2;52,2
279;2022-04-26 14:52:01;19,2;51,7
280;2022-04-26 14:57:01;19,2;51,2
281;2022-04-26 15:02:01;19,2;51,2
282;2022-04-26 15:07:01;19,2;51,2
283;2022-04-26 15:12:01;19,2;51,7
284;2022-04-26 15:17:01;19,2;51,2
285;2022-04-26 15:22:01;19,2;50,7
286;2022-04-26 15:27:01;19,2;50,7
287;2022-04-26 15:32:01;19,2;50,7
288;2022-04-26 15:37:01;19,2;50,7
289;2022-04-26 15:42:01;19,2;51,7
290;2022-04-26 15:47:01;19,2;51,7
291;2022-04-26 15:52:01;19,2;51,2
292;2022-04-26 15:57:01;19,2;51,2
293;2022-04-26 16:02:01;19,2;51,7
294;2022-04-26 16:07:01;19,2;52,2
295;2022-04-26 16:12:01;19,2;52,7
296;2022-04-26 16:17:01;19,2;52,2
297;2022-04-26 16:22:01;19,2;52,2
298;2022-04-26 16:27:01;19,2;52,2
299;2022-04-26 16:32:01;19,2;52,7
300;2022-04-26 16:37:01;19,2;52,7
301;2022-04-26 16:42:01;19,1;52,7
302;2022-04-26 16:47:01;19,1;52,7
303;2022-04-26 16:52:01;19,1;53,2
304;2022-04-26 16:57:01;19,1;53,2
305;2022-04-26 17:02:01;19;53,2
306;2022-04-26 17:07:01;19;53,7
307;2022-04-26 17:12:01;19;53,7
308;2022-04-26 17:17:01;19;53,7
309;2022-04-26 17:22:01;19;54,2
310;2022-04-26 17:27:01;18,9;54,2
311;2022-04-26 17:32:01;18,9;54,7
312;2022-04-26 17:37:01;18,9;54,7
313;2022-04-26 17:42:01;18,9;55,2
314;2022-04-26 17:47:01;18,9;55,1
315;2022-04-26 17:52:01;18,8;55,1
316;2022-04-26 17:57:01;18,8;55,6
317;2022-04-26 18:02:01;18,8;55,6
318;2022-04-26 18:07:01;18,8;55,6
319;2022-04-26 18:12:01;18,8;55,6
320;2022-04-26 18:17:01;18,8;56,1
321;2022-04-26 18:22:01;18,7;56,1
322;2022-04-26 18:27:01;18,7;56,1
323;2022-04-26 18:32:01;18,7;56,1
324;2022-04-26 18:37:01;18,7;56,6
325;2022-04-26 18:42:01;18,6;56,6
326;2022-04-26 18:47:01;18,6;56,6
327;2022-04-26 18:52:01;18,6;56,6
328;2022-04-26 18:57:01;18,6;57,1
329;2022-04-26 19:02:01;18,6;57,1
330;2022-04-26 19:07:01;18,6;57,1
331;2022-04-26 19:12:01;18,6;57,1
332;2022-04-26 19:17:01;18,6;57,5
333;2022-04-26 19:22:01;18,6;57,5
334;2022-04-26 19:27:01;18,6;57,5
335;2022-04-26 19:32:01;18,5;57,5
336;2022-04-26 19:37:01;18,5;57,5
337;2022-04-26 19:42:01;18,5;57,5
338;2022-04-26 19:47:01;18,5;58
339;2022-04-26 19:52:01;18,4;58
340;2022-04-26 19:57:01;18,4;58
341;2022-04-26 20:02:01;18,4;58
342;2022-04-26 20:07:01;18,4;58
343;2022-04-26 20:12:01;18,4;58,5
344;2022-04-26 20:17:01;18,4;58,5
345;2022-04-26 20:22:01;18,3;58,5
346;2022-04-26 20:27:01;18,3;58,5
347;2022-04-26 20:32:01;18,3;58,5
348;2022-04-26 20:37:01;18,3;58,5
349;2022-04-26 20:42:01;18,3;58,5
350;2022-04-26 20:47:01;18,2;58,9
351;2022-04-26 20:52:01;18,2;58,9
352;2022-04-26 20:57:01;18,2;58,9
353;2022-04-26 21:02:01;18,2;58,9
354;2022-04-26 21:07:01;18,2;58,9
355;2022-04-26 21:12:01;18,2;58,9
356;2022-04-26 21:17:01;18,2;58,9
357;2022-04-26 21:22:01;18,2;58,9
358;2022-04-26 21:27:01;18,1;59,4
359;2022-04-26 21:32:01;18,1;59,4
360;2022-04-26 21:37:01;18,1;59,4
361;2022-04-26 21:42:01;18,1;59,4
362;2022-04-26 21:47:01;18,1;59,4
363;2022-04-26 21:52:01;18,1;59,4
364;2022-04-26 21:57:01;18;59,4
