Informe de datos;;;;;
Archivo creado el:2022-05-28 17:50:51;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;21-05-2022 11:16
54;2022-05-21 15:41;20,3;72,5;;
55;2022-05-21 15:46;20,3;72,1;;
56;2022-05-21 15:51;20,3;72,1;;
57;2022-05-21 15:56;20,3;72,5;;
58;2022-05-21 16:01;20,3;72,5;;
59;2022-05-21 16:06;20,3;72,5;;
60;2022-05-21 16:11;20,2;72,5;;
61;2022-05-21 16:16;20,2;72,5;;
62;2022-05-21 16:21;20,2;72,9;;
63;2022-05-21 16:26;20,2;72,9;;
64;2022-05-21 16:31;20,2;73,4;;
65;2022-05-21 16:36;20,2;73,4;;
66;2022-05-21 16:41;20,2;73,4;;
67;2022-05-21 16:46;20,2;73,8;;
68;2022-05-21 16:51;20,2;73,8;;
69;2022-05-21 16:56;20,1;73,3;;
70;2022-05-21 17:01;20,1;73,3;;
71;2022-05-21 17:06;20,1;72,5;;
72;2022-05-21 17:11;20;72;;
73;2022-05-21 17:16;20;72;;
74;2022-05-21 17:21;20;72;;
75;2022-05-21 17:26;19,9;72;;
76;2022-05-21 17:31;19,9;72;;
77;2022-05-21 17:36;19,9;72;;
78;2022-05-21 17:41;19,9;71,6;;
79;2022-05-21 17:46;19,9;72;;
80;2022-05-21 17:51;19,9;72;;
81;2022-05-21 17:56;19,8;72;;
82;2022-05-21 18:01;19,8;72;;
83;2022-05-21 18:06;19,8;72;;
84;2022-05-21 18:11;19,8;72;;
85;2022-05-21 18:16;19,8;72;;
86;2022-05-21 18:21;19,8;72;;
87;2022-05-21 18:26;19,8;72;;
88;2022-05-21 18:31;19,8;72;;
89;2022-05-21 18:36;19,8;72;;
90;2022-05-21 18:41;19,8;72;;
91;2022-05-21 18:46;19,9;72;;
92;2022-05-21 18:51;19,9;72;;
93;2022-05-21 18:56;19,9;72;;
94;2022-05-21 19:01;19,9;72;;
95;2022-05-21 19:06;19,9;72;;
96;2022-05-21 19:11;19,9;72;;
97;2022-05-21 19:16;19,9;72;;
98;2022-05-21 19:21;19,9;72,4;;
99;2022-05-21 19:26;19,9;72;;
100;2022-05-21 19:31;19,9;72,4;;
101;2022-05-21 19:36;19,9;72,4;;
102;2022-05-21 19:41;19,8;72,4;;
103;2022-05-21 19:46;19,8;72,4;;
104;2022-05-21 19:51;19,8;72,4;;
105;2022-05-21 19:56;19,8;72,4;;
106;2022-05-21 20:01;19,8;72;;
107;2022-05-21 20:06;19,8;72;;
108;2022-05-21 20:11;19,8;72;;
109;2022-05-21 20:16;19,8;72;;
110;2022-05-21 20:21;19,8;71,5;;
111;2022-05-21 20:26;19,8;71,5;;
112;2022-05-21 20:31;19,8;71,5;;
113;2022-05-21 20:36;19,8;71,5;;
114;2022-05-21 20:41;19,8;71,1;;
115;2022-05-21 20:46;19,8;71,1;;
116;2022-05-21 20:51;19,8;71,1;;
117;2022-05-21 20:56;19,8;71,1;;
118;2022-05-21 21:01;19,8;71,1;;
119;2022-05-21 21:06;19,8;71,1;;
120;2022-05-21 21:11;19,8;71,1;;
121;2022-05-21 21:16;19,7;70,6;;
122;2022-05-21 21:21;19,7;71,1;;
123;2022-05-21 21:26;19,7;70,6;;
124;2022-05-21 21:31;19,7;70,6;;
125;2022-05-21 21:36;19,7;70,6;;
126;2022-05-21 21:41;19,7;70,6;;
127;2022-05-21 21:46;19,7;70,6;;
128;2022-05-21 21:51;19,7;70,2;;
129;2022-05-21 21:56;19,7;70,2;;
130;2022-05-21 22:01;19,6;70,2;;
131;2022-05-21 22:06;19,6;70,2;;
132;2022-05-21 22:11;19,6;70,2;;
133;2022-05-21 22:16;19,6;70,2;;
134;2022-05-21 22:21;19,6;70,2;;
135;2022-05-21 22:26;19,6;69,7;;
136;2022-05-21 22:31;19,6;69,7;;
137;2022-05-21 22:36;19,6;69,7;;
138;2022-05-21 22:41;19,6;69,7;;
139;2022-05-21 22:46;19,5;69,7;;
140;2022-05-21 22:51;19,5;69,7;;
141;2022-05-21 22:56;19,5;69,7;;
142;2022-05-21 23:01;19,5;69,3;;
143;2022-05-21 23:06;19,5;69,3;;
144;2022-05-21 23:11;19,5;69,3;;
145;2022-05-21 23:16;19,5;69,3;;
146;2022-05-21 23:21;19,5;69,3;;
147;2022-05-21 23:26;19,4;69,3;;
148;2022-05-21 23:31;19,4;69,3;;
149;2022-05-21 23:36;19,4;69,3;;
150;2022-05-21 23:41;19,4;69,2;;
151;2022-05-21 23:46;19,4;69,2;;
152;2022-05-21 23:51;19,4;69,2;;
153;2022-05-21 23:56;19,4;68,8;;
154;2022-05-22 0:01;19,3;68,8;;
155;2022-05-22 0:06;19,3;68,8;;
156;2022-05-22 0:11;19,3;68,8;;
157;2022-05-22 0:16;19,3;68,8;;
158;2022-05-22 0:21;19,3;68,8;;
159;2022-05-22 0:26;19,3;68,8;;
160;2022-05-22 0:31;19,3;68,8;;
161;2022-05-22 0:36;19,3;68,8;;
162;2022-05-22 0:41;19,3;68,3;;
163;2022-05-22 0:46;19,2;68,3;;
164;2022-05-22 0:51;19,2;68,3;;
165;2022-05-22 0:56;19,2;68,3;;
166;2022-05-22 1:01;19,2;68,3;;
167;2022-05-22 1:06;19,2;68,3;;
168;2022-05-22 1:11;19,2;68,3;;
169;2022-05-22 1:16;19,2;68,3;;
170;2022-05-22 1:21;19,2;68,3;;
171;2022-05-22 1:26;19,2;68,3;;
172;2022-05-22 1:31;19,2;68,3;;
173;2022-05-22 1:36;19,2;68,3;;
174;2022-05-22 1:41;19,2;68,3;;
175;2022-05-22 1:46;19,1;68,3;;
176;2022-05-22 1:51;19,1;68,3;;
177;2022-05-22 1:56;19,1;68,3;;
178;2022-05-22 2:01;19,1;68,3;;
179;2022-05-22 2:06;19,1;68,3;;
180;2022-05-22 2:11;19,1;67,8;;
181;2022-05-22 2:16;19,1;67,8;;
182;2022-05-22 2:21;19,1;67,8;;
183;2022-05-22 2:26;19;67,8;;
184;2022-05-22 2:31;19;67,8;;
185;2022-05-22 2:36;19;67,8;;
186;2022-05-22 2:41;19;67,8;;
187;2022-05-22 2:46;19;67,8;;
188;2022-05-22 2:51;19;68,3;;
189;2022-05-22 2:56;19;67,8;;
190;2022-05-22 3:01;18,9;68,3;;
191;2022-05-22 3:06;18,9;67,8;;
192;2022-05-22 3:11;18,9;68,3;;
193;2022-05-22 3:16;18,9;68,3;;
194;2022-05-22 3:21;18,9;68,3;;
195;2022-05-22 3:26;18,9;68,3;;
196;2022-05-22 3:31;18,9;68,3;;
197;2022-05-22 3:36;18,9;68,3;;
198;2022-05-22 3:41;18,9;68,3;;
199;2022-05-22 3:46;18,8;68,2;;
200;2022-05-22 3:51;18,8;68,3;;
201;2022-05-22 3:56;18,8;68,2;;
202;2022-05-22 4:01;18,8;68,2;;
203;2022-05-22 4:06;18,8;68,2;;
204;2022-05-22 4:11;18,8;68,2;;
205;2022-05-22 4:16;18,8;68,2;;
206;2022-05-22 4:21;18,8;68,2;;
207;2022-05-22 4:26;18,8;68,7;;
208;2022-05-22 4:31;18,8;68,7;;
209;2022-05-22 4:36;18,8;68,7;;
210;2022-05-22 4:41;18,8;68,7;;
211;2022-05-22 4:46;18,8;69,1;;
212;2022-05-22 4:51;18,8;69,1;;
213;2022-05-22 4:56;18,8;69,1;;
214;2022-05-22 5:01;18,8;69,1;;
215;2022-05-22 5:06;18,8;69,1;;
216;2022-05-22 5:11;18,8;69,6;;
217;2022-05-22 5:16;18,8;69,6;;
218;2022-05-22 5:21;18,8;69,6;;
219;2022-05-22 5:26;18,8;69,6;;
220;2022-05-22 5:31;18,8;69,6;;
221;2022-05-22 5:36;18,8;70;;
222;2022-05-22 5:41;18,8;70;;
223;2022-05-22 5:46;18,8;70;;
224;2022-05-22 5:51;18,8;70;;
225;2022-05-22 5:56;18,8;70;;
226;2022-05-22 6:01;18,8;70;;
227;2022-05-22 6:06;18,8;70,5;;
228;2022-05-22 6:11;18,8;70,5;;
229;2022-05-22 6:16;18,8;70,5;;
230;2022-05-22 6:21;18,8;70,5;;
231;2022-05-22 6:26;18,7;70,5;;
232;2022-05-22 6:31;18,7;70,4;;
233;2022-05-22 6:36;18,7;70,4;;
234;2022-05-22 6:41;18,7;70,4;;
235;2022-05-22 6:46;18,7;70,9;;
236;2022-05-22 6:51;18,6;70,9;;
237;2022-05-22 6:56;18,6;70,9;;
238;2022-05-22 7:01;18,6;70,9;;
239;2022-05-22 7:06;18,6;70,9;;
240;2022-05-22 7:11;18,6;71,3;;
241;2022-05-22 7:16;18,6;71,3;;
242;2022-05-22 7:21;18,6;71,3;;
243;2022-05-22 7:26;18,6;71,3;;
244;2022-05-22 7:31;18,6;71,3;;
245;2022-05-22 7:36;18,6;71,3;;
246;2022-05-22 7:41;18,6;71,3;;
247;2022-05-22 7:46;18,6;71,3;;
248;2022-05-22 7:51;18,6;71,3;;
249;2022-05-22 7:56;18,7;71,3;;
250;2022-05-22 8:01;18,7;71,3;;
251;2022-05-22 8:06;18,7;71,8;;
252;2022-05-22 8:11;18,7;71,8;;
253;2022-05-22 8:16;18,7;71,8;;
254;2022-05-22 8:21;18,7;71,8;;
255;2022-05-22 8:26;18,7;71,8;;
256;2022-05-22 8:31;18,8;71,8;;
257;2022-05-22 8:36;18,8;71,8;;
258;2022-05-22 8:41;18,8;71,8;;
259;2022-05-22 8:46;18,8;72,2;;
260;2022-05-22 8:51;18,8;72,2;;
261;2022-05-22 8:56;18,8;72,2;;
262;2022-05-22 9:01;18,8;71,8;;
263;2022-05-22 9:06;18,8;71,8;;
264;2022-05-22 9:11;18,9;71,8;;
265;2022-05-22 9:16;18,9;71,8;;
266;2022-05-22 9:21;18,9;71,8;;
267;2022-05-22 9:26;18,9;71,8;;
268;2022-05-22 9:31;18,9;72,2;;
269;2022-05-22 9:36;18,9;72,2;;
270;2022-05-22 9:41;18,9;72,2;;
271;2022-05-22 9:46;18,9;72,2;;
272;2022-05-22 9:51;18,9;72,2;;
273;2022-05-22 9:56;18,9;72,2;;
274;2022-05-22 10:01;18,9;72,2;;
275;2022-05-22 10:06;19;72,2;;
276;2022-05-22 10:11;19;72,2;;
277;2022-05-22 10:16;19;72,3;;
278;2022-05-22 10:21;19;71,8;;
279;2022-05-22 10:26;19;71,8;;
280;2022-05-22 10:31;19;71,8;;
281;2022-05-22 10:36;19,1;71,8;;
282;2022-05-22 10:41;19,1;71,8;;
283;2022-05-22 10:46;19,1;71,4;;
284;2022-05-22 10:51;19,1;71,4;;
285;2022-05-22 10:56;19,1;71,4;;
286;2022-05-22 11:01;19,1;71,4;;
287;2022-05-22 11:06;19,2;71,4;;
288;2022-05-22 11:11;19,2;71,4;;
289;2022-05-22 11:16;19,2;71,4;;
290;2022-05-22 11:21;19,3;71,4;;
291;2022-05-22 11:26;19,3;71;;
292;2022-05-22 11:31;19,4;71;;
293;2022-05-22 11:36;19,4;71;;
294;2022-05-22 11:41;19,4;71;;
295;2022-05-22 11:46;19,5;71;;
296;2022-05-22 11:51;19,5;71,5;;
297;2022-05-22 11:56;19,6;71,5;;
298;2022-05-22 12:01;19,6;71,5;;
299;2022-05-22 12:06;19,6;71,9;;
300;2022-05-22 12:11;19,6;71,9;;
301;2022-05-22 12:16;19,7;71,9;;
302;2022-05-22 12:21;19,7;71,9;;
303;2022-05-22 12:26;19,7;72;;
304;2022-05-22 12:31;19,7;72;;
305;2022-05-22 12:36;19,8;72;;
306;2022-05-22 12:41;19,8;72;;
307;2022-05-22 12:46;19,9;72;;
308;2022-05-22 12:51;19,9;72;;
309;2022-05-22 12:56;19,9;72;;
310;2022-05-22 13:01;19,9;72;;
311;2022-05-22 13:06;20;72;;
312;2022-05-22 13:11;20,1;72;;
313;2022-05-22 13:16;20,1;72;;
314;2022-05-22 13:21;20,2;71,6;;
315;2022-05-22 13:26;20,2;71,6;;
316;2022-05-22 13:31;20,3;71,2;;
317;2022-05-22 13:36;20,3;71,2;;
318;2022-05-22 13:41;20,3;71,2;;
319;2022-05-22 13:46;20,3;70,8;;
320;2022-05-22 13:51;20,4;70,8;;
321;2022-05-22 13:56;20,4;70,8;;
322;2022-05-22 14:01;20,5;70,8;;
323;2022-05-22 14:06;20,6;70,8;;
324;2022-05-22 14:11;20,7;70,8;;
325;2022-05-22 14:16;20,7;70,4;;
326;2022-05-22 14:21;20,7;69,9;;
327;2022-05-22 14:26;20,8;69,9;;
328;2022-05-22 14:31;20,8;69,5;;
329;2022-05-22 14:36;20,8;69,5;;
330;2022-05-22 14:41;20,8;69,5;;
331;2022-05-22 14:46;20,8;69;;
332;2022-05-22 14:51;20,8;69;;
333;2022-05-22 14:56;20,8;69;;
334;2022-05-22 15:01;20,7;69;;
335;2022-05-22 15:06;20,7;69;;
336;2022-05-22 15:11;20,7;69,5;;
337;2022-05-22 15:16;20,7;69,5;;
338;2022-05-22 15:21;20,7;69,5;;
339;2022-05-22 15:26;20,6;69,9;;
340;2022-05-22 15:31;20,6;69,9;;
341;2022-05-22 15:36;20,6;70,4;;
342;2022-05-22 15:41;20,6;70,8;;
343;2022-05-22 15:46;20,6;71,3;;
344;2022-05-22 15:51;20,6;71,7;;
345;2022-05-22 15:56;20,6;71,7;;
346;2022-05-22 16:01;20,6;72,1;;
347;2022-05-22 16:06;20,5;72,1;;
348;2022-05-22 16:11;20,5;72,1;;
349;2022-05-22 16:16;20,5;72,1;;
350;2022-05-22 16:21;20,4;72,1;;
351;2022-05-22 16:26;20,4;72,1;;
352;2022-05-22 16:31;20,4;72,1;;
353;2022-05-22 16:36;20,4;72,1;;
354;2022-05-22 16:41;20,4;72,1;;
355;2022-05-22 16:46;20,4;72,5;;
356;2022-05-22 16:51;20,3;72,5;;
357;2022-05-22 16:56;20,3;72,5;;
358;2022-05-22 17:01;20,3;72,5;;
359;2022-05-22 17:06;20,3;72,5;;
360;2022-05-22 17:11;20,3;72,9;;
361;2022-05-22 17:16;20,3;73;;
362;2022-05-22 17:21;20,3;73;;
363;2022-05-22 17:26;20,3;72,9;;
364;2022-05-22 17:31;20,3;72,5;;
365;2022-05-22 17:36;20,3;72,9;;
366;2022-05-22 17:41;20,3;72,9;;
367;2022-05-22 17:46;20,3;72,9;;
368;2022-05-22 17:51;20,3;72,9;;
369;2022-05-22 17:56;20,3;72,9;;
370;2022-05-22 18:01;20,3;72,9;;
371;2022-05-22 18:06;20,3;72,9;;
372;2022-05-22 18:11;20,3;72,9;;
373;2022-05-22 18:16;20,3;72,9;;
374;2022-05-22 18:21;20,2;72,5;;
375;2022-05-22 18:26;20,2;72,9;;
376;2022-05-22 18:31;20,2;72,5;;
377;2022-05-22 18:36;20,2;72,9;;
378;2022-05-22 18:41;20,2;72,9;;
379;2022-05-22 18:46;20,2;72,9;;
380;2022-05-22 18:51;20,2;72,9;;
381;2022-05-22 18:56;20,2;72,9;;
382;2022-05-22 19:01;20,2;72,9;;
383;2022-05-22 19:06;20,2;72,9;;
384;2022-05-22 19:11;20,2;72,9;;
385;2022-05-22 19:16;20,2;72,9;;
386;2022-05-22 19:21;20,2;72,9;;
387;2022-05-22 19:26;20,2;72,9;;
388;2022-05-22 19:31;20,2;72,9;;
389;2022-05-22 19:36;20,2;72,9;;
390;2022-05-22 19:41;20,2;72,9;;
391;2022-05-22 19:46;20,2;72,9;;
392;2022-05-22 19:51;20,1;72,9;;
393;2022-05-22 19:56;20,1;72,9;;
394;2022-05-22 20:01;20,1;72,9;;
395;2022-05-22 20:06;20,1;72,9;;
396;2022-05-22 20:11;20,1;72,9;;
397;2022-05-22 20:16;20,1;72,9;;
398;2022-05-22 20:21;20,1;72,9;;
399;2022-05-22 20:26;20,1;72,9;;
400;2022-05-22 20:31;20,1;72,9;;
401;2022-05-22 20:36;20,1;72,9;;
402;2022-05-22 20:41;20,1;72,9;;
403;2022-05-22 20:46;20,1;73,3;;
404;2022-05-22 20:51;20,1;73,3;;
405;2022-05-22 20:56;20,1;73,3;;
406;2022-05-22 21:01;20,1;72,9;;
407;2022-05-22 21:06;20,1;73,3;;
408;2022-05-22 21:11;20,1;72,9;;
409;2022-05-22 21:16;20,1;73,3;;
410;2022-05-22 21:21;20,1;73,3;;
411;2022-05-22 21:26;20,1;73,3;;
412;2022-05-22 21:31;20,1;73,3;;
413;2022-05-22 21:36;20,1;73,3;;
414;2022-05-22 21:41;20,1;73,3;;
415;2022-05-22 21:46;20,1;73,3;;
416;2022-05-22 21:51;20,1;73,3;;
417;2022-05-22 21:56;20;73,3;;
418;2022-05-22 22:01;20;73,3;;
419;2022-05-22 22:06;20;73,3;;
420;2022-05-22 22:11;20;73,3;;
421;2022-05-22 22:16;20;73,3;;
422;2022-05-22 22:21;20;73,3;;
423;2022-05-22 22:26;20;73,3;;
424;2022-05-22 22:31;20;73,3;;
425;2022-05-22 22:36;20;73,3;;
426;2022-05-22 22:41;20;73,3;;
427;2022-05-22 22:46;20;73,3;;
428;2022-05-22 22:51;20;73,3;;
429;2022-05-22 22:56;20;73,3;;
430;2022-05-22 23:01;20;73,3;;
431;2022-05-22 23:06;20;73,3;;
432;2022-05-22 23:11;20;73,3;;
433;2022-05-22 23:16;20;72,5;;
434;2022-05-22 23:21;19,9;71,6;;
435;2022-05-22 23:26;19,9;71,1;;
436;2022-05-22 23:31;19,9;70,7;;
437;2022-05-22 23:36;19,9;70,2;;
438;2022-05-22 23:41;19,9;70,2;;
439;2022-05-22 23:46;19,9;70,2;;
440;2022-05-22 23:51;19,9;70,2;;
441;2022-05-22 23:56;19,8;70,2;;
442;2022-05-23 0:01;19,8;70,2;;
443;2022-05-23 0:06;19,8;70,2;;
444;2022-05-23 0:11;19,8;70,2;;
445;2022-05-23 0:16;19,8;70,2;;
446;2022-05-23 0:21;19,8;69,8;;
447;2022-05-23 0:26;19,8;69,3;;
448;2022-05-23 0:31;19,8;69,3;;
449;2022-05-23 0:36;19,8;68,9;;
450;2022-05-23 0:41;19,8;68,9;;
451;2022-05-23 0:46;19,8;68,9;;
452;2022-05-23 0:51;19,8;68,9;;
453;2022-05-23 0:56;19,8;68,9;;
454;2022-05-23 1:01;19,7;68,9;;
455;2022-05-23 1:06;19,7;68,9;;
456;2022-05-23 1:11;19,7;68,9;;
457;2022-05-23 1:16;19,7;68,9;;
458;2022-05-23 1:21;19,7;68,8;;
459;2022-05-23 1:26;19,7;68,9;;
460;2022-05-23 1:31;19,7;68,8;;
461;2022-05-23 1:36;19,7;68,8;;
462;2022-05-23 1:41;19,7;68,8;;
463;2022-05-23 1:46;19,6;68,4;;
464;2022-05-23 1:51;19,6;68,4;;
465;2022-05-23 1:56;19,6;68,4;;
466;2022-05-23 2:01;19,6;68,4;;
467;2022-05-23 2:06;19,6;68,4;;
468;2022-05-23 2:11;19,6;68,4;;
469;2022-05-23 2:16;19,6;68,4;;
470;2022-05-23 2:21;19,6;68,4;;
471;2022-05-23 2:26;19,6;68,4;;
472;2022-05-23 2:31;19,5;68,4;;
473;2022-05-23 2:36;19,5;68,4;;
474;2022-05-23 2:41;19,5;68,4;;
475;2022-05-23 2:46;19,5;68,4;;
476;2022-05-23 2:51;19,5;68,4;;
477;2022-05-23 2:56;19,5;67,9;;
478;2022-05-23 3:01;19,5;67,9;;
479;2022-05-23 3:06;19,4;67,9;;
480;2022-05-23 3:11;19,4;67,5;;
481;2022-05-23 3:16;19,4;67;;
482;2022-05-23 3:21;19,4;67;;
483;2022-05-23 3:26;19,4;67;;
484;2022-05-23 3:31;19,4;66,5;;
485;2022-05-23 3:36;19,3;66,5;;
486;2022-05-23 3:41;19,3;66,5;;
487;2022-05-23 3:46;19,3;66,5;;
488;2022-05-23 3:51;19,3;66,5;;
489;2022-05-23 3:56;19,3;66,5;;
490;2022-05-23 4:01;19,3;66,5;;
491;2022-05-23 4:06;19,3;66,5;;
492;2022-05-23 4:11;19,3;66,5;;
493;2022-05-23 4:16;19,3;67;;
494;2022-05-23 4:21;19,2;67;;
495;2022-05-23 4:26;19,2;67;;
496;2022-05-23 4:31;19,2;67;;
497;2022-05-23 4:36;19,2;67;;
498;2022-05-23 4:41;19,2;67;;
499;2022-05-23 4:46;19,2;67;;
500;2022-05-23 4:51;19,2;67,4;;
501;2022-05-23 4:56;19,2;67,4;;
502;2022-05-23 5:01;19,2;67,4;;
503;2022-05-23 5:06;19,2;67,4;;
504;2022-05-23 5:11;19,2;67,4;;
505;2022-05-23 5:16;19,2;67,4;;
506;2022-05-23 5:21;19,2;67,4;;
507;2022-05-23 5:26;19,2;67,4;;
508;2022-05-23 5:31;19,2;67,4;;
509;2022-05-23 5:36;19,2;67,4;;
510;2022-05-23 5:41;19,2;67,4;;
511;2022-05-23 5:46;19,1;67,4;;
512;2022-05-23 5:51;19,1;67,4;;
513;2022-05-23 5:56;19,1;66,9;;
514;2022-05-23 6:01;19,1;66,9;;
515;2022-05-23 6:06;19,1;66,5;;
516;2022-05-23 6:11;19;66,5;;
517;2022-05-23 6:16;19;66,9;;
518;2022-05-23 6:21;19;66,9;;
519;2022-05-23 6:26;19;66,5;;
520;2022-05-23 6:31;19;66,9;;
521;2022-05-23 6:36;18,9;66,9;;
522;2022-05-23 6:41;18,9;66,9;;
523;2022-05-23 6:46;18,9;66,9;;
524;2022-05-23 6:51;18,9;66,9;;
525;2022-05-23 6:56;18,9;66,9;;
526;2022-05-23 7:01;18,9;67,4;;
527;2022-05-23 7:06;18,9;67,4;;
528;2022-05-23 7:11;18,9;67,4;;
529;2022-05-23 7:16;18,9;67,4;;
530;2022-05-23 7:21;18,9;67,4;;
531;2022-05-23 7:26;18,9;67,8;;
532;2022-05-23 7:31;18,9;67,8;;
533;2022-05-23 7:36;18,9;67,8;;
534;2022-05-23 7:41;18,9;67,8;;
535;2022-05-23 7:46;18,9;67,8;;
536;2022-05-23 7:51;18,9;67,8;;
537;2022-05-23 7:56;18,9;67,8;;
538;2022-05-23 8:01;18,9;67,4;;
539;2022-05-23 8:06;18,9;67,4;;
540;2022-05-23 8:11;18,9;67,4;;
541;2022-05-23 8:16;18,9;67,4;;
542;2022-05-23 8:21;18,9;67,4;;
543;2022-05-23 8:26;18,9;67,4;;
544;2022-05-23 8:31;18,9;67,4;;
545;2022-05-23 8:36;18,9;67,8;;
546;2022-05-23 8:41;18,9;67,8;;
547;2022-05-23 8:46;19;67,8;;
548;2022-05-23 8:51;19;67,8;;
549;2022-05-23 8:56;19;67,8;;
550;2022-05-23 9:01;19;68,3;;
551;2022-05-23 9:06;19;68,3;;
552;2022-05-23 9:11;19;68,3;;
553;2022-05-23 9:16;19;68,3;;
554;2022-05-23 9:21;19;68,3;;
555;2022-05-23 9:26;19;68,3;;
556;2022-05-23 9:31;19,1;68,3;;
557;2022-05-23 9:36;19,1;68,3;;
558;2022-05-23 9:41;19,1;68,3;;
559;2022-05-23 9:46;19,1;67,9;;
560;2022-05-23 9:51;19,1;67,8;;
561;2022-05-23 9:56;19,1;67,8;;
562;2022-05-23 10:01;19,1;67,8;;
563;2022-05-23 10:06;19,1;67,4;;
564;2022-05-23 10:11;19,1;67,4;;
565;2022-05-23 10:16;19,1;67,4;;
566;2022-05-23 10:21;19,1;66,9;;
567;2022-05-23 10:26;19,2;67;;
568;2022-05-23 10:31;19,2;67;;
569;2022-05-23 10:36;19,2;66,5;;
570;2022-05-23 10:41;19,2;66,5;;
571;2022-05-23 10:46;19,2;66,5;;
572;2022-05-23 10:51;19,3;66,5;;
573;2022-05-23 10:56;19,3;66,5;;
574;2022-05-23 11:01;19,3;66,5;;
575;2022-05-23 11:06;19,4;66,5;;
576;2022-05-23 11:11;19,4;66,6;;
577;2022-05-23 11:16;19,5;66,6;;
578;2022-05-23 11:21;19,5;66,6;;
579;2022-05-23 11:26;19,5;66,6;;
580;2022-05-23 11:31;19,5;66,6;;
581;2022-05-23 11:36;19,6;66,6;;
582;2022-05-23 11:41;19,6;66,6;;
583;2022-05-23 11:46;19,6;66,6;;
584;2022-05-23 11:51;19,7;66,6;;
585;2022-05-23 11:56;19,7;66,1;;
586;2022-05-23 12:01;19,8;65,7;;
587;2022-05-23 12:06;19,8;65,7;;
588;2022-05-23 12:11;19,8;65,7;;
