RC-4HC Temperature+Humidity Data Logger;;;;
User Information;RC-4HC Data Logger V556;;;
Number;719AH10153;;;
Interval    ;0:5:0 H:M:S;;;
Delay Time;0.0 H;;;
Data Sum;28/10/1905 0:00;;;
Temperature Maximum;28.5°C;;;
Temperature Minimum;19.3°C;;;
Temperature Average;22.9°C;;;
Temperature Alarm Upper Limit;60.0°C;;;
Temperature Alarm Lower Limit;-30.0°C;;;
Humidity Maximum;49.1%RH;;;
Humidity Minimum;33.4%RH;;;
Humidity Average;43.1%RH;;;
Humidity Alarm Upper Limit;90%RH;;;
Humidity Alarm Lower Limit;20%RH;;;
Start Time;03/03/2022 12:57;;;
End Time;10/03/2022 22:12;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;
Temperature Unit;°C;;;
Number;Time;Temperature°C;Humidity%RH;
181;04/03/2022 3:57;21.5;45.3;
182;04/03/2022 4:02;21.5;45.8;
183;04/03/2022 4:07;21.5;45.3;
184;04/03/2022 4:12;21.5;45.8;
185;04/03/2022 4:17;21.5;45.8;
186;04/03/2022 4:22;21.5;45.8;
187;04/03/2022 4:27;21.5;45.8;
188;04/03/2022 4:32;21.4;45.8;
189;04/03/2022 4:37;21.4;45.8;
190;04/03/2022 4:42;21.4;45.8;
191;04/03/2022 4:47;21.4;45.8;
192;04/03/2022 4:52;21.4;45.8;
193;04/03/2022 4:57;21.3;45.8;
194;04/03/2022 5:02;21.3;45.8;
195;04/03/2022 5:07;21.3;45.8;
196;04/03/2022 5:12;21.3;45.8;
197;04/03/2022 5:17;21.3;45.8;
198;04/03/2022 5:22;21.2;45.8;
199;04/03/2022 5:27;21.2;46.3;
200;04/03/2022 5:32;21.2;46.3;
201;04/03/2022 5:37;21.2;46.3;
202;04/03/2022 5:42;21.2;46.3;
203;04/03/2022 5:47;21.1;46.3;
204;04/03/2022 5:52;21.1;46.3;
205;04/03/2022 5:57;21.1;46.3;
206;04/03/2022 6:02;21.1;46.3;
207;04/03/2022 6:07;21.1;46.3;
208;04/03/2022 6:12;21.1;46.8;
209;04/03/2022 6:17;21;46.8;
210;04/03/2022 6:22;21;46.8;
211;04/03/2022 6:27;21;46.8;
212;04/03/2022 6:32;21;46.8;
213;04/03/2022 6:37;21;46.8;
214;04/03/2022 6:42;21;46.8;
215;04/03/2022 6:47;20.9;46.8;
216;04/03/2022 6:52;20.9;46.8;
217;04/03/2022 6:57;20.9;46.8;
218;04/03/2022 7:02;20.9;46.8;
219;04/03/2022 7:07;20.9;46.8;
220;04/03/2022 7:12;20.9;46.8;
221;04/03/2022 7:17;20.9;46.8;
222;04/03/2022 7:22;20.9;46.8;
223;04/03/2022 7:27;20.9;46.8;
224;04/03/2022 7:32;20.8;46.8;
225;04/03/2022 7:37;20.9;46.8;
226;04/03/2022 7:42;20.8;46.8;
227;04/03/2022 7:47;20.8;47.3;
228;04/03/2022 7:52;20.8;46.8;
229;04/03/2022 7:57;20.8;47.3;
230;04/03/2022 8:02;20.8;47.3;
231;04/03/2022 8:07;20.8;46.8;
232;04/03/2022 8:12;20.7;47.3;
233;04/03/2022 8:17;20.8;47.3;
234;04/03/2022 8:22;20.7;47.3;
235;04/03/2022 8:27;20.7;47.3;
236;04/03/2022 8:32;20.7;47.3;
237;04/03/2022 8:37;20.7;47.3;
238;04/03/2022 8:42;20.7;47.8;
239;04/03/2022 8:47;20.7;47.8;
240;04/03/2022 8:52;20.8;48.3;
241;04/03/2022 8:57;20.8;48.8;
242;04/03/2022 9:02;20.9;48.9;
243;04/03/2022 9:07;20.9;48.9;
244;04/03/2022 9:12;20.9;48.9;
245;04/03/2022 9:17;20.9;48.9;
246;04/03/2022 9:22;21;48.9;
247;04/03/2022 9:27;21;48.9;
248;04/03/2022 9:32;21.1;48.9;
249;04/03/2022 9:37;21.1;48.9;
250;04/03/2022 9:42;21.2;48.9;
251;04/03/2022 9:47;21.3;48.9;
252;04/03/2022 9:52;21.4;48.9;
253;04/03/2022 9:57;21.5;48.9;
254;04/03/2022 10:02;21.5;48.9;
255;04/03/2022 10:07;21.6;48.9;
256;04/03/2022 10:12;21.6;49;
257;04/03/2022 10:17;21.7;49;
258;04/03/2022 10:22;21.8;49;
259;04/03/2022 10:27;21.9;49;
260;04/03/2022 10:32;22;49;
261;04/03/2022 10:37;22;49;
262;04/03/2022 10:42;22.1;49;
263;04/03/2022 10:47;22.2;49;
264;04/03/2022 10:52;22.2;49;
265;04/03/2022 10:57;22.3;49;
266;04/03/2022 11:02;22.4;49;
267;04/03/2022 11:07;22.5;49.1;
268;04/03/2022 11:12;22.6;49.1;
269;04/03/2022 11:17;22.7;49.1;
270;04/03/2022 11:22;22.8;48.6;
271;04/03/2022 11:27;22.9;48.1;
272;04/03/2022 11:32;22.9;48.1;
273;04/03/2022 11:37;22.9;48.1;
274;04/03/2022 11:42;23;48.1;
275;04/03/2022 11:47;23.1;47.6;
276;04/03/2022 11:52;23.3;47.6;
277;04/03/2022 11:57;23.3;47.1;
278;04/03/2022 12:02;23.5;47.6;
279;04/03/2022 12:07;23.8;48.2;
280;04/03/2022 12:12;24;48.2;
281;04/03/2022 12:17;24;48.2;
282;04/03/2022 12:22;24;48.2;
283;04/03/2022 12:27;24;47.2;
284;04/03/2022 12:32;24.2;47.7;
285;04/03/2022 12:37;24.3;47.2;
286;04/03/2022 12:42;24.4;47.7;
287;04/03/2022 12:47;24.5;47.8;
288;04/03/2022 12:52;24.7;47.8;
289;04/03/2022 12:57;24.9;47.3;
290;04/03/2022 13:02;25.1;47.3;
291;04/03/2022 13:07;25.2;47.3;
292;04/03/2022 13:12;25.2;47.3;
293;04/03/2022 13:17;25.4;46.8;
294;04/03/2022 13:22;25.4;46.3;
295;04/03/2022 13:27;25.5;46.3;
296;04/03/2022 13:32;25.7;46.3;
297;04/03/2022 13:37;25.8;46.3;
298;04/03/2022 13:42;25.9;45.8;
299;04/03/2022 13:47;26;45.8;
300;04/03/2022 13:52;26;45.8;
301;04/03/2022 13:57;26.1;45.3;
302;04/03/2022 14:02;26.2;45.3;
303;04/03/2022 14:07;26.2;44.8;
304;04/03/2022 14:12;26.2;45.3;
305;04/03/2022 14:17;26.5;44.8;
306;04/03/2022 14:22;26.8;44.9;
307;04/03/2022 14:27;26.8;44.9;
308;04/03/2022 14:32;26.8;44.3;
309;04/03/2022 14:37;26.8;44.3;
310;04/03/2022 14:42;26.8;44.3;
311;04/03/2022 14:47;26.8;43.8;
312;04/03/2022 14:52;26.8;43.3;
313;04/03/2022 14:57;26.8;43.3;
314;04/03/2022 15:02;27;43.3;
315;04/03/2022 15:07;27.4;43.3;
316;04/03/2022 15:12;27.7;42.8;
317;04/03/2022 15:17;27.7;42.8;
318;04/03/2022 15:22;27.6;42.3;
319;04/03/2022 15:27;27.6;42.3;
320;04/03/2022 15:32;27.8;42.3;
321;04/03/2022 15:37;27.9;42.3;
322;04/03/2022 15:42;28.1;41.2;
323;04/03/2022 15:47;28.1;41.8;
324;04/03/2022 15:52;28.2;41.2;
325;04/03/2022 15:57;28.3;41.3;
326;04/03/2022 16:02;28.3;41.3;
327;04/03/2022 16:07;28.2;41.3;
328;04/03/2022 16:12;28.1;41.2;
329;04/03/2022 16:17;28;41.2;
330;04/03/2022 16:22;28;40.7;
331;04/03/2022 16:27;28;40.7;
332;04/03/2022 16:32;28;40.1;
333;04/03/2022 16:37;28;40.1;
334;04/03/2022 16:42;28;40.1;
335;04/03/2022 16:47;28;40.1;
336;04/03/2022 16:52;28;40.1;
