RC-4HC Temperature+Humidity Data Logger;;;;;
User Information;RC-4HC Data Logger;;;;
Number;V485;;;;
Interval    ;0:5:0 H:M:S;;;;
Delay Time;0,0 H;;;;
Data Sum;2886;;;;
Temperature Maximum;22,5°C;;;;
Temperature Minimum;11,8°C;;;;
Temperature Average;17,3°C;;;;
Temperature Alarm Upper Limit;60,0°C;;;;
Temperature Alarm Lower Limit;-30,0°C;;;;
Humidity Maximum;63,5%RH;;;;
Humidity Minimum;28%RH;;;;
Humidity Average;52,3%RH;;;;
Humidity Alarm Upper Limit;90%RH;;;;
Humidity Alarm Lower Limit;20%RH;;;;
Start Time;2022-05-09 17:01:49;;;;
End Time;2022-05-19 17:26:49;;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;;
Temperature Unit;°C;;;;
Number;Time;Temperature°C;Humidity%RH;;
266;2022-05-10 15:06:49;22,7;42,35;;
267;2022-05-10 15:11:49;22,7;42,6;;
268;2022-05-10 15:16:49;22,7;42,85;;
269;2022-05-10 15:21:49;22,6;42,85;;
270;2022-05-10 15:26:49;22,6;43,1;;
271;2022-05-10 15:31:49;22,5;43,65;;
272;2022-05-10 15:36:49;22,45;43,9;;
273;2022-05-10 15:41:49;22,4;43,85;;
274;2022-05-10 15:46:49;22,3;44,15;;
275;2022-05-10 15:51:49;22,2;44,4;;
276;2022-05-10 15:56:49;22,1;44,65;;
277;2022-05-10 16:01:49;22;44,65;;
278;2022-05-10 16:06:49;21,95;44,35;;
279;2022-05-10 16:11:49;21,9;44,35;;
280;2022-05-10 16:16:49;21,8;44,35;;
281;2022-05-10 16:21:49;21,85;44,35;;
282;2022-05-10 16:26:49;21,8;44,6;;
283;2022-05-10 16:31:49;21,7;44,6;;
284;2022-05-10 16:36:49;21,65;44,85;;
285;2022-05-10 16:41:49;21,55;44,85;;
286;2022-05-10 16:46:49;21,45;44,85;;
287;2022-05-10 16:51:49;21,35;44,85;;
288;2022-05-10 16:56:49;21,3;45,1;;
289;2022-05-10 17:01:49;21,2;45,35;;
290;2022-05-10 17:06:49;21,05;45,85;;
291;2022-05-10 17:11:49;21;45,85;;
292;2022-05-10 17:16:49;20,85;45,8;;
293;2022-05-10 17:21:49;20,8;46,1;;
294;2022-05-10 17:26:49;20,65;46,3;;
295;2022-05-10 17:31:49;20,55;46,55;;
296;2022-05-10 17:36:49;20,35;46,8;;
297;2022-05-10 17:41:49;20,3;47,05;;
298;2022-05-10 17:46:49;20,2;47,55;;
299;2022-05-10 17:51:49;20,1;47,5;;
300;2022-05-10 17:56:49;19,95;47,75;;
301;2022-05-10 18:01:49;19,85;48;;
302;2022-05-10 18:06:49;19,75;48,5;;
303;2022-05-10 18:11:49;19,65;48,5;;
304;2022-05-10 18:16:49;19,55;48,75;;
305;2022-05-10 18:21:49;19,4;48,95;;
306;2022-05-10 18:26:49;19,25;49,2;;
307;2022-05-10 18:31:49;19,2;49,45;;
308;2022-05-10 18:36:49;19,1;49,7;;
309;2022-05-10 18:41:49;19;49,95;;
310;2022-05-10 18:46:49;18,9;49,9;;
311;2022-05-10 18:51:49;18,85;50,4;;
312;2022-05-10 18:56:49;18,75;50,4;;
313;2022-05-10 19:01:49;18,7;50,65;;
314;2022-05-10 19:06:49;18,65;50,9;;
315;2022-05-10 19:11:49;18,55;50,9;;
316;2022-05-10 19:16:49;18,5;51,4;;
317;2022-05-10 19:21:49;18,45;51,35;;
318;2022-05-10 19:26:49;18,4;51,6;;
319;2022-05-10 19:31:49;18,35;51,6;;
320;2022-05-10 19:36:49;18,3;51,85;;
321;2022-05-10 19:41:49;18,2;52,05;;
322;2022-05-10 19:46:49;18,2;52,3;;
323;2022-05-10 19:51:49;18,1;52,3;;
324;2022-05-10 19:56:49;18,1;52,55;;
325;2022-05-10 20:01:49;18,05;52,55;;
326;2022-05-10 20:06:49;18;52,55;;
327;2022-05-10 20:11:49;18;53,05;;
328;2022-05-10 20:16:49;17,9;53,05;;
329;2022-05-10 20:21:49;17,9;53,05;;
330;2022-05-10 20:26:49;17,9;53,55;;
331;2022-05-10 20:31:49;17,8;53,5;;
332;2022-05-10 20:36:49;17,8;53,5;;
333;2022-05-10 20:41:49;17,8;53,5;;
334;2022-05-10 20:46:49;17,75;53,5;;
335;2022-05-10 20:51:49;17,75;53,75;;
336;2022-05-10 20:56:49;17,75;53,75;;
337;2022-05-10 21:01:49;17,7;54;;
338;2022-05-10 21:06:49;17,65;54;;
339;2022-05-10 21:11:49;17,65;54;;
340;2022-05-10 21:16:49;17,65;54,2;;
341;2022-05-10 21:21:49;17,6;54,45;;
342;2022-05-10 21:26:49;17,6;54,45;;
343;2022-05-10 21:31:49;17,6;54,45;;
