;1;2;3;4;5;6;7;8;9;10;11
;Sonda 1 BC 2;Sonda 3 BC 2;Sonda 2 BC 2;Sonda 1 9F 3;Sonda 2 9F 3;Sonda 3 9F 3;Sonda 4 BC 2;Sonda 4 146 1;Sonda 1 146 1;Sonda 3 146 1;Sonda 2 146 1
04-03-2021 7:17;-74,94;-75,53;-77,08;-79,81;-79,81;-80,17;-76,69;-78,44;-74,94;-74,75;-75,72
04-03-2021 7:18;-74,75;-75,53;-77,08;-79,61;-79,61;-79,98;-76,69;-78,25;-74,94;-74,55;-75,53
04-03-2021 7:19;-74,75;-75,33;-77,08;-79,42;-79,61;-79,98;-76,5;-78,25;-74,75;-74,55;-75,53
04-03-2021 7:20;-74,55;-75,33;-77,08;-79,42;-79,42;-79,81;-76,5;-78,25;-74,55;-74,36;-75,33
04-03-2021 7:21;-74,36;-75,14;-77,08;-79,42;-79,42;-79,81;-76,3;-78,05;-74,75;-74,36;-75,33
04-03-2021 7:22;-74,16;-75,14;-76,89;-79,61;-79,42;-79,81;-76,3;-78,25;-74,94;-74,36;-75,14
04-03-2021 7:23;-74,16;-74,94;-76,89;-79,22;-79,22;-79,42;-76,3;-78,05;-74,16;-74,36;-75,14
04-03-2021 7:24;-74,16;-74,94;-76,89;-79,03;-79,03;-79,42;-76,3;-78,05;-74,36;-74,36;-75,33
04-03-2021 7:25;-74,16;-74,94;-76,89;-79,03;-79,03;-79,42;-76,3;-78,25;-74,94;-74,94;-76,3
04-03-2021 7:26;-74,16;-74,94;-76,89;-79,22;-79,03;-79,42;-76,5;-77,86;-75,33;-74,94;-76,3
04-03-2021 7:27;-74,16;-74,94;-76,89;-79,22;-79,42;-79,42;-76,5;-78,44;-75,53;-75,33;-76,11
04-03-2021 7:28;-74,55;-75,14;-77,08;-79,22;-79,22;-79,42;-76,5;-78,25;-75,91;-75,33;-76,69
04-03-2021 7:29;-74,36;-75,14;-77,08;-79,03;-79,42;-79,03;-76,5;-78,44;-75,53;-75,33;-76,3
04-03-2021 7:30;-74,55;-75,14;-77,08;-79,42;-79,61;-79,61;-76,5;-78,05;-75,72;-75,53;-76,69
04-03-2021 7:31;-74,75;-75,33;-76,89;-79,42;-79,61;-79,42;-76,5;-78,44;-75,53;-75,53;-76,3
04-03-2021 7:32;-74,75;-75,33;-76,89;-79,81;-79,61;-79,81;-76,5;-78,25;-75,53;-75,53;-76,11
04-03-2021 7:33;-74,75;-75,53;-76,89;-79,61;-79,42;-79,61;-76,3;-78,44;-75,53;-75,33;-76,11
04-03-2021 7:34;-74,94;-75,53;-77,08;-79,42;-79,81;-80,17;-76,5;-78,05;-75,72;-75,33;-76,11
04-03-2021 7:35;-75,14;-75,53;-77,08;-79,81;-79,61;-79,98;-76,5;-78,64;-75,33;-75,14;-75,72
04-03-2021 7:36;-75,14;-75,53;-77,08;-79,61;-79,81;-79,98;-76,69;-78,64;-75,33;-75,33;-75,91
04-03-2021 7:37;-75,33;-75,53;-77,08;-79,81;-79,81;-79,98;-76,69;-78,25;-75,33;-75,14;-75,91
04-03-2021 7:38;-75,33;-75,72;-77,08;-79,61;-79,81;-79,98;-76,89;-78,25;-75,91;-75,33;-76,11
04-03-2021 7:39;-75,33;-75,72;-77,08;-79,81;-79,81;-80,17;-76,89;-78,44;-75,53;-75,14;-75,91
04-03-2021 7:40;-75,14;-75,72;-77,08;-79,81;-79,81;-80,17;-76,69;-78,44;-75,33;-75,14;-75,91
04-03-2021 7:41;-75,14;-75,72;-77,08;-79,61;-79,81;-79,98;-76,69;-78,44;-75,14;-74,94;-75,91
04-03-2021 7:42;-74,94;-75,53;-77,08;-79,61;-79,61;-79,98;-76,69;-78,25;-75,14;-74,75;-75,72
04-03-2021 7:43;-74,75;-75,53;-77,08;-79,42;-79,61;-79,81;-76,69;-78,25;-74,75;-74,75;-75,53
04-03-2021 7:44;-74,75;-75,33;-77,08;-79,42;-79,42;-79,81;-76,5;-78,25;-74,75;-74,55;-75,53
04-03-2021 7:45;-74,36;-75,14;-77,08;-79,22;-79,22;-79,22;-76,5;-78,05;-74,75;-74,55;-75,33
04-03-2021 7:46;-74,36;-75,14;-76,89;-79,42;-79,42;-79,42;-76,3;-77,86;-74,75;-74,55;-75,33
04-03-2021 7:47;-74,16;-74,94;-76,89;-79,42;-79,22;-79,42;-76,3;-78,05;-74,55;-74,36;-75,33
04-03-2021 7:48;-74,16;-74,94;-76,89;-79,22;-79,22;-79,42;-76,3;-78,05;-74,36;-74,16;-75,53
