RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V400;;
Number;7184200157;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2655;;
Temperature Maximum;22,7°C;;
Temperature Minimum;11,8°C;;
Temperature Average;16,3°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;69,1%RH;;
Humidity Minimum;48,7%RH;;
Humidity Average;60,9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-23 10:17:23;;
End Time;2022-05-02 15:27:23;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
169;2022-04-24 00:17:23;17,2;58,8
170;2022-04-24 00:22:23;17,2;58,8
171;2022-04-24 00:27:23;17,2;58,8
172;2022-04-24 00:32:23;17,1;58,8
173;2022-04-24 00:37:23;17,1;58,8
174;2022-04-24 00:42:23;17,1;58,8
175;2022-04-24 00:47:23;17,1;58,8
176;2022-04-24 00:52:23;17;59,3
177;2022-04-24 00:57:23;17;59,3
178;2022-04-24 01:02:23;17;59,2
179;2022-04-24 01:07:23;16,9;59,2
180;2022-04-24 01:12:23;16,9;59,2
181;2022-04-24 01:17:23;16,9;59,2
182;2022-04-24 01:22:23;16,8;59,2
183;2022-04-24 01:27:23;16,8;59,2
184;2022-04-24 01:32:23;16,7;59,2
185;2022-04-24 01:37:23;16,7;59,7
186;2022-04-24 01:42:23;16,7;59,7
187;2022-04-24 01:47:23;16,6;59,7
188;2022-04-24 01:52:23;16,6;59,7
189;2022-04-24 01:57:23;16,5;59,7
190;2022-04-24 02:02:23;16,5;60,1
191;2022-04-24 02:07:23;16,4;60,1
192;2022-04-24 02:12:23;16,4;60,1
193;2022-04-24 02:17:23;16,3;60,1
194;2022-04-24 02:22:23;16,3;60,1
195;2022-04-24 02:27:23;16,2;60,1
196;2022-04-24 02:32:23;16,2;60,1
197;2022-04-24 02:37:23;16,2;60,1
198;2022-04-24 02:42:23;16,1;60,1
