RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V501;;
Number;719AH10181;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3603;;
Temperature Maximum;24,4°C;;
Temperature Minimum;11,8°C;;
Temperature Average;16,4°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;70,4%RH;;
Humidity Minimum;47,5%RH;;
Humidity Average;57,9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16/5/2022 09:48;;
End Time;28/5/2022 21:58;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
271;2022-05-17 08:18:28;12,1;54,7
272;2022-05-17 08:23:28;12,2;54,7
273;2022-05-17 08:28:28;12,2;54,2
274;2022-05-17 08:33:28;12,2;54,2
275;2022-05-17 08:38:28;12,2;54,2
276;2022-05-17 08:43:28;12,2;54,7
277;2022-05-17 08:48:28;12,3;54,7
278;2022-05-17 08:53:28;12,3;54,7
279;2022-05-17 08:58:28;12,4;54,7
280;2022-05-17 09:03:28;12,4;54,7
281;2022-05-17 09:08:28;12,5;54,7
282;2022-05-17 09:13:28;12,5;54,8
283;2022-05-17 09:18:28;12,6;54,8
284;2022-05-17 09:23:28;12,7;54,3
285;2022-05-17 09:28:28;12,7;54,3
286;2022-05-17 09:33:28;12,8;54,3
287;2022-05-17 09:38:28;12,9;54,3
288;2022-05-17 09:43:28;13;54,8
289;2022-05-17 09:48:28;13,1;54,8
290;2022-05-17 09:53:28;13,2;54,4
291;2022-05-17 09:58:28;13,3;54,4
292;2022-05-17 10:03:28;13,4;54,4
293;2022-05-17 10:08:28;13,4;54,4
294;2022-05-17 10:13:28;13,5;54,4
295;2022-05-17 10:18:28;13,6;54,4
296;2022-05-17 10:23:28;13,6;54,4
297;2022-05-17 10:28:28;13,7;54
298;2022-05-17 10:33:28;13,8;54,5
299;2022-05-17 10:38:28;13,9;54,5
300;2022-05-17 10:43:28;14;54
301;2022-05-17 10:48:28;14,1;54
302;2022-05-17 10:53:28;14,2;54
303;2022-05-17 10:58:28;14,4;54
304;2022-05-17 11:03:28;14,5;54,1
305;2022-05-17 11:08:28;14,6;53,6
306;2022-05-17 11:13:28;14,7;53,6
307;2022-05-17 11:18:28;14,8;53,1
308;2022-05-17 11:23:28;14,9;53,1
309;2022-05-17 11:28:28;15;54,1
310;2022-05-17 11:33:28;15,1;53,7
311;2022-05-17 11:38:28;15,2;53,7
312;2022-05-17 11:43:28;15,3;53,7
313;2022-05-17 11:48:28;15,4;53,2
314;2022-05-17 11:53:28;15,4;53,7
315;2022-05-17 11:58:28;15,5;53,2
316;2022-05-17 12:03:28;15,6;53,7
317;2022-05-17 12:08:28;15,7;54,2
318;2022-05-17 12:13:28;15,8;54,3
319;2022-05-17 12:18:28;15,9;54,3
320;2022-05-17 12:23:28;16;53,8
321;2022-05-17 12:28:28;16,1;53,3
